        Position: X-component / [m]                __component1_beam_3/
----------------------------------------------------------------------
           -0.0048061408                       -13869700
           -0.0047644633                        -9640555
           -0.0047411723                      -5673102.2
           -0.0046302184                       9686329.6
           -0.0046298434                      -7067201.1
           -0.0045858801                      -2181624.8
           -0.0045828162                        13142415
            -0.004581884                      -9135396.2
           -0.0045639374                       2116809.3
           -0.0045111909                        18347390
           -0.0044022176                      -9269939.1
           -0.0043421968                       -20739200
           -0.0043089668                      -1032256.5
           -0.0042905522                       206219.96
           -0.0042888734                       -16240746
           -0.0042666976                       3921822.6
           -0.0042342114                         9950669
           -0.0042045992                       -10619494
           -0.0042031783                      -3716645.5
           -0.0041941443                        14705790
           -0.0041713362                       9886484.2
           -0.0041574184                      -5051524.4
           -0.0041083069                        17681820
           -0.0040617142                        23881777
            -0.004051277                      -5202297.4
            -0.004006571                       6889022.6
           -0.0039968366                      -4920780.2
           -0.0039947986                       6215995.2
           -0.0039896437                        -1756803
           -0.0039550448                      -6707492.5
           -0.0039381239                      -8504327.5
           -0.0039367968                       -22747877
           -0.0039122585                        12266085
           -0.0038768029                       5283513.8
           -0.0038601883                        19510657
           -0.0038375043                        25460384
           -0.0037970007                       -15771686
           -0.0037853673                      -2275285.4
           -0.0037470207                      -9198077.6
           -0.0036884877                        16075421
           -0.0036855381                       6599.9667
           -0.0036445471                        18361513
           -0.0036189491                       4975880.6
           -0.0036184657                      -6204618.3
           -0.0036124279                      -3276219.9
           -0.0035838477                        23575001
           -0.0035506321                         5966346
           -0.0035501858                      -990563.86
           -0.0035292353                        13960275
           -0.0035206427                       -10567926
           -0.0034833265                      -2288157.5
           -0.0034609983                      -6632268.3
           -0.0034603676                      -8849436.8
           -0.0034587171                        16150995
             -0.00345039                      -9421724.2
            -0.003442961                       3345070.6
           -0.0034272926                      -3764570.6
           -0.0034178896                       6546042.4
            -0.003403208                      -4816882.2
            -0.003389486                       8678305.7
           -0.0033797069                      -2047133.6
           -0.0033722187                       6923331.7
           -0.0032781038                        11332858
            -0.003261813                       -12176971
           -0.0031614374                      -5391902.9
           -0.0031430239                       6013766.8
           -0.0031278121                       -14087517
           -0.0031260892                        15387848
           -0.0031243871                       -12868059
           -0.0031202965                       842160.64
            -0.003094136                       -25047922
           -0.0030918928                        -4236389
           -0.0030695275                      -1694495.7
           -0.0030694028                        10610995
           -0.0030663421                      -4183458.6
           -0.0030613391                       79529.899
           -0.0030595309                      -786642.02
           -0.0029784315                       3201760.2
           -0.0029736327                      -6442928.2
           -0.0029588006                       -10139421
           -0.0029503477                      -6593153.5
           -0.0029454759                      -1603239.1
           -0.0029293535                      -860704.25
           -0.0029148609                        16950012
           -0.0029034886                      -8399391.6
           -0.0029017444                      -3952270.9
           -0.0028977755                       2478158.2
           -0.0028888127                       -13560946
           -0.0028856319                       -22043457
           -0.0028810282                      -3016354.4
           -0.0028605183                       -16448742
           -0.0027439269                       -25571875
           -0.0026749131                         7070929
            -0.002643548                       4794700.2
           -0.0026337289                      -9453642.1
           -0.0026105665                       -15452085
           -0.0025973844                       7342807.1
           -0.0025923038                       -27015308
           -0.0025821223                       -17164832
           -0.0025776513                       5621718.9
           -0.0025764691                      -1160045.4
           -0.0025684306                        15576155
           -0.0025592586                      -1247916.4
           -0.0025561465                       127681.14
           -0.0025449222                       -12702936
            -0.002542937                      -2887820.2
           -0.0025276124                       -10973291
           -0.0025227401                       1214732.4
           -0.0024426037                       5239429.6
           -0.0024170859                       6398898.9
           -0.0024138934                       827770.54
           -0.0024083731                      -1425771.5
           -0.0024010149                      -4573231.2
           -0.0023973294                      -7552353.9
           -0.0023969673                        16270025
           -0.0023768057                       -22153868
           -0.0023763908                       3435166.5
           -0.0023680982                      -9349853.4
            -0.002356104                         9345095
           -0.0023459594                       2259997.1
           -0.0023450314                      -5055012.1
           -0.0023422469                       9897670.8
           -0.0023421016                       1166357.2
           -0.0022739001                       -14741512
           -0.0022201784                      -5911579.9
           -0.0021318196                      -5030745.9
           -0.0021175798                        17133525
           -0.0020999824                       -10275222
           -0.0020648667                        11001502
           -0.0020590726                      -1882746.6
           -0.0020439403                      -6605550.2
           -0.0020407361                        14900590
           -0.0020299186                       -21583918
           -0.0020138472                       2638674.7
           -0.0020037691                      -4502216.7
           -0.0020010174                      -7336767.9
           -0.0019988702                       5618162.3
           -0.0019917221                       2597892.5
           -0.0019909216                       4108787.4
           -0.0019874814                       1056393.1
           -0.0019861935                        12591175
           -0.0019835367                       -14870215
           -0.0019829981                       -11780023
           -0.0019106852                       2516439.6
           -0.0018948675                      -7917520.1
           -0.0018904572                       -23922496
           -0.0018700939                       3244569.5
           -0.0018646408                       749767.69
           -0.0018597942                       849728.09
           -0.0018520978                        336962.9
           -0.0018388384                        18555459
           -0.0018251448                      -642079.75
           -0.0018128286                        12692460
            -0.001812166                      -3320905.6
           -0.0018090454                      -9928152.1
           -0.0018059945                       769812.76
           -0.0018054243                      -2307622.4
           -0.0017895531                       7404280.1
           -0.0017876304                        -2249595
           -0.0017040639                      -7641141.4
           -0.0016652851                        16270771
           -0.0016385198                      -1548357.5
           -0.0016210781                      -1760210.6
           -0.0015689969                       6777445.5
           -0.0015655455                      -1385344.4
           -0.0015144042                       -11073787
           -0.0014937964                      -689429.42
           -0.0014835728                        15832553
           -0.0014727109                      -3154196.6
           -0.0014619145                      -4127774.1
           -0.0014581785                       1943764.9
            -0.001452789                      -6440717.3
           -0.0014461479                      -2090279.8
           -0.0014421722                       1754596.3
           -0.0014404897                       -21034456
            -0.001432504                       -13642729
           -0.0014304481                      -3442473.2
           -0.0014132429                      -2506781.4
           -0.0013897922                        26685234
           -0.0013712439                        19264140
           -0.0013616946                      -4016671.3
           -0.0013327672                       -24918285
           -0.0013222528                      -414760.69
           -0.0013062133                        12010540
           -0.0012952662                       8008058.5
           -0.0012916676                       7974097.5
           -0.0012844894                        15403606
           -0.0012756002                      -972936.83
           -0.0012681654                      -6195629.6
           -0.0012630948                       1778604.2
           -0.0012585437                        10612339
           -0.0012534956                       3578235.6
           -0.0012506378                      -5820033.7
            -0.001233694                       885162.54
           -0.0012083208                        21343453
           -0.0011490705                       1862155.6
           -0.0011365212                        28396421
           -0.0011354304                       1325196.2
           -0.0011098987                      -6288761.9
           -0.0010172029                       -14769322
          -0.00097726746                       -18934602
          -0.00096533463                       1406795.7
          -0.00094301678                      -7957991.1
          -0.00093014895                       -17159793
          -0.00091954396                        14415346
          -0.00091406298                       -14125608
          -0.00091156276                       6903689.3
          -0.00090584461                      -3703451.2
          -0.00090175709                        15219371
          -0.00090089432                        12296048
          -0.00089523048                      -4181500.1
           -0.0008856559                        16208686
          -0.00086713013                        10419225
          -0.00083134846                        17305354
           -0.0008129943                      -9623102.9
          -0.00078282016                      -2192674.1
           -0.0007790403                        14830562
          -0.00077368175                        -4516370
          -0.00077060174                      -1071222.2
          -0.00075525909                        19438199
          -0.00074264827                      -5254986.8
           -0.0007329316                       -23860408
          -0.00072643075                       -24214315
          -0.00072162657                       3618327.9
          -0.00071665844                       2381784.2
          -0.00070933677                       -13485482
          -0.00069604455                        662396.5
          -0.00066970665                       8253731.6
          -0.00063599447                      -503918.56
          -0.00062802123                       8394879.7
            -0.000613362                        13476850
          -0.00058612023                        983852.5
          -0.00057889771                      -4221884.4
          -0.00056646319                       1958052.2
          -0.00051989667                       -10296170
          -0.00046556585                        15578729
          -0.00044985181                       206429.23
          -0.00041799123                        -1284185
          -0.00041030023                        14104376
          -0.00039492478                       -14325923
          -0.00037980878                       3269063.9
          -0.00036869539                       974832.98
          -0.00036189412                        -3408633
          -0.00035756496                         8425136
          -0.00035335004                      -9141390.5
          -0.00034589228                       -12981032
          -0.00033448053                       -12779044
          -0.00033298151                       -17273286
          -0.00030875797                       3628186.6
          -0.00027151697                       2002247.7
          -0.00026221566                      -3826220.3
          -0.00023628899                       1398576.4
          -0.00022699196                       8008081.9
          -0.00020697515                      -9896643.7
          -0.00019601586                      -2894400.9
          -0.00019246826                      -7238206.1
          -0.00018278991                       -16753886
          -0.00017724636                        -1724147
          -0.00017352431                       4696630.6
          -0.00016847757                      -6828977.7
          -0.00015914836                      -1213579.7
          -0.00014311841                         5020686
          -0.00011389552                       -16281089
          -0.00011082314                        19083183
          -0.00010593482                       4563827.3
         -8.7585877e-005                        45202.47
         -7.6484661e-005                      -5315202.7
         -3.7888647e-005                      -1750304.6
          9.7590039e-006                       8753123.6
          3.6152354e-005                      -5977862.7
           8.628481e-005                       -15890849
           0.00011680502                        -2246000
           0.00012645345                      -1654939.2
           0.00015137262                       -12269243
           0.00016940235                       -10677451
           0.00018101367                        10057183
           0.00018718159                      -6341030.9
           0.00019099917                       -19385954
           0.00019513826                       -11203465
           0.00020264156                       -10502409
           0.00020329288                       708283.37
           0.00021741503                       -20600657
           0.00022717415                       4847007.9
           0.00023271921                      -7279226.3
           0.00024078082                       -23617912
           0.00027290257                        18937758
           0.00028395464                      -7125273.7
            0.0003168684                      -5564949.4
           0.00031737349                         1906467
            0.0003404096                       9732549.9
            0.0003569788                       6912720.8
           0.00036633742                       7572504.9
           0.00037138648                      -7129357.5
           0.00037478927                        12231744
           0.00038016479                       8184672.9
           0.00038999316                      -2541619.7
            0.0004042388                       -10460939
           0.00040645181                      -8806254.1
            0.0004325466                        10896589
           0.00046836038                      -6781974.9
           0.00046968501                       -11394160
           0.00052733273                       7720481.5
           0.00055063324                      -38049.767
            0.0005770233                      -1123845.8
           0.00060874118                      -5991833.3
           0.00063094215                       3258602.6
           0.00065652254                        24768334
           0.00066895846                        19923054
           0.00069957352                        26855787
           0.00071248816                      -1194062.4
           0.00071889283                        14213866
           0.00072944745                       -490727.3
           0.00073475839                      -5317106.5
           0.00073874215                       -171248.9
            0.0007434452                       4969178.7
           0.00075190652                      -2097682.1
           0.00076556694                        17052903
           0.00078312148                      -878238.87
           0.00078711131                        21587295
           0.00082098071                       -14787015
           0.00082553102                      -3704161.7
            0.0008626266                       7363901.4
           0.00087888761                        15319278
            0.0008904803                       301329.05
           0.00090603774                       -19483574
           0.00091366354                      -2431732.4
           0.00091832396                      -1645983.3
           0.00092237155                      -10590.293
           0.00092848665                       6576685.3
           0.00093844352                       -22553331
           0.00094547202                       -17192239
           0.00095446066                       -16439290
           0.00097350232                       -16792427
           0.00098008761                        10025452
           0.00099166058                        13762042
            0.0010215487                        13405023
            0.0010899609                       -10309257
            0.0010909317                       903681.51
             0.001134809                      -1803789.4
            0.0011720068                      -1160405.5
            0.0012202336                       2100886.6
            0.0012219562                       352295.48
            0.0012419966                      -551136.61
            0.0012498567                        21484110
            0.0012531482                      -7193466.7
            0.0012677261                      -3406764.5
             0.001275468                       -16146036
             0.001279825                       -10858605
            0.0012851289                        26828912
            0.0012913559                      -4487370.5
            0.0013002008                        17948688
            0.0013061836                        10970531
             0.001314022                        15058538
            0.0013291055                       -11954208
            0.0013379519                       8117767.5
            0.0013747638                       -24116528
            0.0013781678                        13927330
             0.001421571                      -508821.19
            0.0014391717                       -18577801
            0.0014432491                      -198288.42
            0.0014529403                       -17987806
            0.0014580639                        -1396408
            0.0014630005                       674154.99
            0.0014690718                        202498.5
             0.001476533                       -18413303
            0.0014868855                      -5115377.5
             0.001504537                       -12118057
            0.0015216897                       -19012384
            0.0015354641                      -6870479.3
            0.0015530002                      -9903516.6
            0.0015837466                        20853737
            0.0016413567                        -8796254
            0.0016663415                       -23166103
            0.0016756024                       -16745399
            0.0016996726                      -469396.01
            0.0017002148                       616321.87
            0.0017430546                       -12002999
            0.0017902389                         7693701
            0.0017930369                       4032201.9
            0.0018080541                       -17711662
            0.0018138597                      -6082473.6
            0.0018177586                       6156889.7
            0.0018223988                       1028679.7
            0.0018306196                      -998626.92
            0.0018390483                      -9009094.8
             0.001848405                       -18753534
            0.0018638806                        11563172
            0.0018660763                       4979812.5
            0.0018775337                      -4453754.2
             0.001894668                       1422779.1
             0.001917598                      -5718568.2
            0.0019434119                       -10526693
            0.0019617128                      -4193982.5
            0.0019764325                       837237.32
            0.0019894191                       1757151.1
            0.0019912131                       -18031080
            0.0019934505                       208700.52
            0.0019960821                       5018459.4
             0.001998918                        14223276
            0.0020060751                        11678315
            0.0020154191                       2390715.6
            0.0020242355                        17389601
            0.0020348851                      -819614.75
            0.0020564995                      -282836.97
            0.0020908346                         6534805
            0.0020970369                       -16141575
            0.0021303558                      -6829032.8
             0.002148306                       -21164963
            0.0021486934                       -16395970
            0.0022441637                        15980296
             0.002246769                       7664679.7
             0.002353863                       7415975.5
            0.0023547266                       -22927342
            0.0023563621                      -7407616.1
            0.0023603153                       7193150.9
            0.0023626904                        27796102
            0.0023635199                       6996136.5
            0.0023669535                      -7385657.8
            0.0023765997                       -11207808
            0.0023864745                      -7724913.5
             0.002394681                      -4141463.5
            0.0024015959                         5520725
            0.0024112966                       -18951097
            0.0024255537                        14068433
            0.0024530081                      -539432.89
            0.0024650748                        16617298
            0.0025044402                       -23790276
            0.0025089893                       820733.54
            0.0025276579                       -20625353
            0.0025338472                       -10037466
            0.0025372878                         3398740
             0.002539369                      -4046961.3
            0.0025481903                      -3881986.4
            0.0025492451                        23349603
            0.0025584584                       258861.12
            0.0025624679                        26924366
            0.0025644413                       8622293.4
            0.0025704399                        14473073
            0.0025784737                       6876265.3
            0.0026054363                       311180.82
            0.0026118873                      -4413126.5
            0.0026596791                        15377730
             0.002705441                       5163636.9
            0.0027747327                        16971673
            0.0028913829                      -1395733.5
            0.0028914773                        14530516
            0.0029010519                       9686278.9
            0.0029061836                      -9082830.8
            0.0029258524                       7981899.5
            0.0029298773                       2318042.6
            0.0029323252                       6707151.5
            0.0029337762                        10548174
            0.0029340964                        13456225
            0.0029484578                       838524.88
            0.0029506842                        387945.2
            0.0029765071                      -6466589.5
            0.0029809542                       -12006164
            0.0030110436                       7509430.9
            0.0030656153                        17754055
            0.0030680874                       1065998.9
            0.0030740396                      -2700801.1
            0.0030745536                      -8437383.6
            0.0030969227                       -13283409
            0.0031036852                       -11123544
            0.0031096206                        23163573
            0.0031117443                      -3296601.8
            0.0031118689                        11868731
            0.0031200153                       -23285906
            0.0031473941                      -782381.17
            0.0031714864                       -26078295
             0.003175745                       8092325.3
            0.0031782831                       4132934.1
             0.003231257                       -11925461
            0.0033688152                       -16243508
            0.0034203098                      -6046350.3
            0.0034262472                        17520882
            0.0034363963                       274334.86
            0.0034568393                       2106588.7
             0.003461294                        12332478
            0.0034627033                       3404248.9
            0.0034627041                        11794279
            0.0034682902                      -7806007.9
             0.003484902                       14010.356
             0.003539528                        25760793
            0.0035548575                       1911323.9
             0.003587198                       21716.297
            0.0035952989                       721617.75
            0.0036060565                         5218595
            0.0036168505                       1647109.1
            0.0036177939                      -1488797.8
            0.0036210174                      -5252394.5
            0.0036417775                      -4202462.5
            0.0036432803                       -17194817
            0.0036589267                       1366827.7
            0.0036619043                        11841524
            0.0036730798                       -19376521
            0.0037039633                      -9431857.4
            0.0037069987                        16152998
            0.0037680492                       151229.52
            0.0039218829                       -10311955
            0.0039337552                       -18422674
            0.0039582635                      -2995756.5
            0.0039592376                        18266713
            0.0039692406                      -3456508.9
            0.0039807448                       -22398075
            0.0040100775                      -31402.293
            0.0040409931                       953729.06
            0.0040429143                      -5227029.9
            0.0040605103                      -8493181.3
            0.0040638973                       6214226.1
            0.0040758882                        16504680
            0.0040889769                       -12727557
             0.004110973                       2129763.9
            0.0041306554                        12117446
             0.004152048                       7962468.4
            0.0041531551                       7149449.1
            0.0041803494                      -6265807.2
            0.0041866994                       431289.39
            0.0041867647                       -19609220
            0.0041950718                        -4572708
            0.0042479784                      -7419971.8
            0.0043948625                       1160537.2
             0.004435507                        11279868
            0.0044595827                        12317370
            0.0044674552                        16878480
            0.0044720278                        824014.2
            0.0045176476                      -4703287.4
            0.0045530391                       7180494.4
            0.0045577092                       3813183.4
            0.0045584238                      -305950.19
            0.0046252493                      -6329995.2
            0.0046697897                      -749950.83
            0.0047060717                      -8894835.6
            0.0047909538                      -4715897.2
            0.0047911298                        259016.1

