
   Column:             1              2              3              4              5              6              7              8              9             10
     Ry/Rx:    1.00000000e-02,1.00000000e-01,2.00000000e-01,4.00000000e-01,6.00000000e-01,8.00000000e-01,1.00000000e+00,2.00000000e+00,5.00000000e+00,1.00000000e+01

     Rx/Rz         Mx(:,1)        Mx(:,2)        Mx(:,3)       Mx(:,4)        Mx(:,5)        Mx(:,6)          Mx(:,7)       Mx(:,8)        Mx(:,9)         Mx(:,10)

1.00000000e-02,1.97974883e-02,1.81773306e-01,3.33243807e-01,5.71250922e-01,7.49736178e-01,8.88540990e-01,9.99570101e-01,1.33252121e+00,1.66489840e+00,1.81516900e+00
1.00000000e-01,1.95805138e-02,1.79607790e-01,3.28934584e-01,5.62767803e-01,7.37265532e-01,8.72280729e-01,9.79714120e-01,1.29720325e+00,1.59895391e+00,1.72160855e+00
5.00000000e-01,1.77201419e-02,1.61090858e-01,2.92336359e-01,4.92157176e-01,6.35947573e-01,7.43505417e-01,8.26436002e-01,1.05440057e+00,1.23750583e+00,1.29720325e+00
1.00000000e+00,1.55102931e-02,1.39195723e-01,2.49516088e-01,4.11846482e-01,5.24174084e-01,6.05559662e-01,6.66666667e-01,8.26436002e-01,9.44179030e-01,9.79714120e-01
1.49253731e+00,1.37964514e-02,1.22305841e-01,2.16854673e-01,3.52193416e-01,4.43208682e-01,5.07789732e-01,5.55510413e-01,6.76997218e-01,7.63069955e-01,7.88282205e-01
2.00000000e+00,1.24091347e-02,1.08709726e-01,1.90840485e-01,3.05726028e-01,3.81313342e-01,4.34161824e-01,4.72799717e-01,5.69560963e-01,6.36606296e-01,6.55944234e-01
2.50000000e+00,1.13139433e-02,9.80376308e-02,1.70623887e-01,2.70292617e-01,3.34802167e-01,3.79441757e-01,4.11846482e-01,4.92157176e-01,5.47067420e-01,5.62767803e-01
3.03030303e+00,1.03661070e-02,8.88554545e-02,1.53393334e-01,2.40586156e-01,2.96267354e-01,3.34490317e-01,3.62089653e-01,4.29981076e-01,4.75975850e-01,4.89051538e-01
3.57142857e+00,9.56657141e-03,8.11571157e-02,1.39078326e-01,2.16267434e-01,2.65034534e-01,2.98307956e-01,3.22239200e-01,3.80793992e-01,4.20212679e-01,4.31375789e-01
4.00000000e+00,9.02544513e-03,7.59756526e-02,1.29517531e-01,2.00214690e-01,2.44573026e-01,2.74724343e-01,2.96358513e-01,3.49125891e-01,3.84518634e-01,3.94519846e-01
4.54545455e+00,8.42890573e-03,7.02946414e-02,1.19109383e-01,1.82917101e-01,2.22663631e-01,2.49576726e-01,2.68841608e-01,3.15685091e-01,3.46994155e-01,3.55823279e-01
5.00000000e+00,7.99552473e-03,6.61904584e-02,1.11641940e-01,1.70623887e-01,2.07180780e-01,2.31870445e-01,2.49516088e-01,2.92336359e-01,3.20892228e-01,3.28934584e-01
