
   Column:             1              2              3              4              5              6              7              8              9             10
     Ry/Rx:    1.00000000e-02,1.00000000e-01,2.00000000e-01,4.00000000e-01,6.00000000e-01,8.00000000e-01,1.00000000e+00,2.00000000e+00,5.00000000e+00,1.00000000e+01

     Rx/Rz         My(:,1)        My(:,2)        My(:,3)       My(:,4)        My(:,5)        My(:,6)          My(:,7)       My(:,8)        My(:,9)         My(:,10)

1.00000000e-02,1.98019255e+00,1.81812876e+00,1.66656381e+00,1.42837665e+00,1.24972119e+00,1.11075433e+00,9.99570101e-01,6.65921053e-01,3.31895914e-01,1.79607790e-01
1.00000000e-01,1.97988013e+00,1.81516900e+00,1.66096470e+00,1.41824691e+00,1.23582045e+00,1.09365310e+00,9.79714120e-01,6.36606296e-01,2.92336359e-01,1.39195723e-01
5.00000000e-01,1.97602642e+00,1.78052401e+00,1.59895391e+00,1.31700234e+00,1.10928083e+00,9.50768556e-01,8.26436002e-01,4.72799717e-01,1.70623887e-01,6.61904584e-02
1.00000000e+00,1.96897941e+00,1.72160855e+00,1.50096782e+00,1.17630704e+00,9.51651833e-01,7.88880676e-01,6.66666667e-01,3.47127995e-01,1.11641940e-01,4.05717606e-02
1.49253731e+00,1.96109992e+00,1.66056674e+00,1.40646522e+00,1.05522914e+00,8.27320298e-01,6.69718505e-01,5.55510413e-01,2.73877407e-01,8.33929863e-02,2.94981271e-02
2.00000000e+00,1.95253824e+00,1.59895391e+00,1.31700234e+00,9.50768556e-01,7.26729443e-01,5.77765102e-01,4.72799717e-01,2.24700883e-01,6.61904584e-02,2.30565007e-02
2.50000000e+00,1.94388227e+00,1.54094910e+00,1.23750583e+00,8.64853692e-01,6.47999874e-01,5.08244091e-01,4.11846482e-01,1.90840485e-01,5.50263451e-02,1.89852853e-02
3.03030303e+00,1.93458487e+00,1.48285392e+00,1.16199050e+00,7.88463222e-01,5.80726464e-01,4.50399008e-01,3.62089653e-01,1.64508221e-01,4.66843193e-02,1.59955858e-02
3.57142857e+00,1.92504675e+00,1.42726985e+00,1.09323341e+00,7.22849806e-01,5.24834327e-01,4.03364556e-01,3.22239200e-01,1.44188582e-01,4.04340526e-02,1.37835563e-02
4.00000000e+00,1.91748630e+00,1.38580851e+00,1.04400086e+00,6.77971553e-01,4.87551108e-01,3.72482610e-01,2.96358513e-01,1.31334033e-01,3.65592617e-02,1.24238809e-02
4.54545455e+00,1.90788075e+00,1.33612866e+00,9.87164590e-01,6.28180129e-01,4.47041604e-01,3.39358637e-01,2.68841608e-01,1.17946537e-01,3.25862053e-02,1.10387530e-02
5.00000000e+00,1.89990397e+00,1.29720325e+00,9.44179030e-01,5.91870285e-01,4.18046130e-01,3.15916816e-01,2.49516088e-01,1.08709726e-01,2.98808378e-02,1.01007151e-02
