 Nseed      iq         dt[nsec]           dW[MeV]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00
      0      1      -0.36453E-01       0.23962E-07       0.52901E-01      -0.20504E+02      -0.83006E-01      -0.19730E+02
      0      1      -0.91608E-02       0.20002E-07      -0.38962E-01      -0.21467E+02       0.10134E+00       0.12032E+02
      0      1      -0.18690E-01       0.12863E-07       0.78847E-01      -0.15699E+02       0.13231E+00      -0.37694E+01
      0      1      -0.25432E-01       0.48916E-09       0.76463E-01      -0.15709E+02      -0.49910E-01      -0.30404E+02
      0      1      -0.15053E-01       0.53732E-08       0.11583E-01       0.53101E+01      -0.43138E-01      -0.44886E+02
      0      1       0.35625E-01      -0.51539E-08       0.60272E-01      -0.14712E+02       0.13305E+00       0.19213E+02
      0      1       0.38147E-02       0.22381E-07       0.18370E-01      -0.38733E+02      -0.12046E-01      -0.36647E+02
      0      1      -0.17199E-01      -0.25307E-07       0.13388E+00       0.45839E+01       0.66793E-01       0.78659E+01
      0      1       0.16929E-01      -0.16135E-08       0.13144E+00      -0.37733E+01       0.64864E-01      -0.12173E+01
      0      1      -0.24558E-01       0.15494E-07       0.56003E-01      -0.21578E+01       0.52678E-01      -0.43887E+02
      0      1       0.94648E-02       0.19343E-07      -0.62299E-01       0.12630E+02       0.84816E-01       0.31655E+02
      0      1      -0.10419E-01      -0.14953E-07      -0.14153E+00       0.55016E+00       0.26387E-01       0.22495E+02
      0      1       0.19507E-02      -0.18264E-07       0.67046E-01      -0.18689E+02      -0.47603E-01      -0.14933E+02
      0      1       0.35159E-01       0.20084E-07      -0.31466E-01       0.14668E+02      -0.21283E-01      -0.30896E+02
      0      1       0.33745E-01       0.45917E-08      -0.19623E-01       0.27748E+02       0.54904E-01      -0.36459E+02
      0      1      -0.17646E-01      -0.16286E-07      -0.87196E-01      -0.10382E+02       0.71382E-01       0.10813E+02
      0      1       0.30868E-01      -0.21921E-07       0.48560E-01       0.34818E+02      -0.52822E-01       0.14531E+02
      0      1      -0.25129E-01      -0.21298E-07       0.10203E+00      -0.39652E+01       0.73780E-01      -0.24265E+02
      0      1       0.22735E-01      -0.24812E-07      -0.31048E-01       0.19211E+02      -0.11396E-01       0.40297E+02
      0      1      -0.12264E-01       0.25817E-07       0.49667E-02       0.47326E+00       0.15576E+00       0.12813E+02
      0      1      -0.35020E-01       0.71266E-08       0.10303E-02      -0.15428E+02       0.99546E-01      -0.27147E+02
      0      1       0.36616E-01      -0.25008E-07       0.41726E-01       0.38237E+02       0.44644E-01       0.24246E+02
      0      1      -0.10259E-01       0.16339E-08       0.71221E-01      -0.39245E+01       0.12210E+00       0.19713E+02
      0      1      -0.78435E-02      -0.54848E-08      -0.63808E-02      -0.20309E+02       0.50900E-01       0.10694E+02
      0      1       0.23210E-01      -0.24459E-07       0.12838E+00      -0.11144E+02       0.39947E-01      -0.27732E+02
      0      1       0.26727E-01       0.16995E-07      -0.27931E-01       0.73629E+01      -0.48185E-01      -0.49353E+02
      0      1       0.29962E-01      -0.22595E-07      -0.11376E-01       0.39840E+02       0.56258E-01      -0.22983E+02
