x[cm]	x'[mrad]            y[cm]           y'[mrad]		
0	0	0	0
0.0529	-0.020504	-0.08301	-0.01973
-0.03896	-0.021467	0.10134	0.012032
0.07885	-0.015699	0.13231	-0.0037694
0.07646	-0.015709	-0.04991	-0.030404
0.01158	0.0053101	-0.04314	-0.044886
0.06027	-0.014712	0.13305	0.019213
0.01837	-0.038733	-0.01205	-0.036647
0.13388	0.0045839	0.06679	0.0078659
0.13144	-0.0037733	0.06486	-0.0012173
0.056	-0.0021578	0.05268	-0.043887
-0.0623	0.01263	0.08482	0.031655
-0.14153	0.00055016	0.02639	0.022495
0.06705	-0.018689	-0.0476	-0.014933
-0.03147	0.014668	-0.02128	-0.030896
-0.01962	0.027748	0.0549	-0.036459
-0.0872	-0.010382	0.07138	0.010813
0.04856	0.034818	-0.05282	0.014531
0.10203	-0.0039652	0.07378	-0.024265
-0.03105	0.019211	-0.0114	0.040297
0.00497	0.00047326	0.15576	0.012813
0.00103	-0.015428	0.09955	-0.027147
0.04173	0.038237	0.04464	0.024246
0.07122	-0.0039245	0.1221	0.019713
-0.00638	-0.020309	0.0509	0.010694
0.12838	-0.011144	0.03995	-0.027732
-0.02793	0.0073629	-0.04818	-0.049353
-0.01138	0.03984	0.05626	-0.022983
-0.06371	0.0052897	-0.07262	-0.038513
-0.00475	-0.024269	0.06783	0.035288
-0.0084	0.033052	0.06182	-0.018711
0.00616	-0.010417	-0.01179	-0.041914
-0.06077	0.022819	-0.04926	0.028143
0.01754	0.0072581	0.01304	0.035162
0.04325	0.0096437	0.09189	0.041241
-0.11396	-0.016369	0.06442	-0.027653
0.10886	-0.020276	0.05669	-0.029392
-0.15027	0.0077158	0.04712	0.0011413
0.0212	0.0033514	0.02863	0.030614
0.10167	-0.017045	0.01818	0.0096445
0.02034	0.0042357	-0.12346	-0.0339
-0.02857	-0.010832	0.11584	0.0013271
-0.02626	0.050289	0.005	-0.01032
0.13279	0.0046817	-0.01029	0.018054
-0.03364	-0.015309	0.08229	0.023058
-0.03451	-0.021967	-0.05762	-0.013111
0.02184	0.030391	0.12045	-0.00091772
0.10682	-0.024984	0.08616	0.0093584
-0.07385	-0.048303	-0.02418	0.0055337
0.10951	0.028461	-0.07078	0.0077888
0.01246	0.035017	-0.02964	-0.00065656
0.04351	0.040607	0.00784	-0.01681
0.0928	0.0044566	-0.00357	0.020006
0.03127	-0.017397	-0.02847	-0.014849
0.00121	0.0041316	-0.02974	0.028793
-0.09299	0.0070324	-0.01569	0.017241
-0.03848	0.0046736	-0.08481	-0.015779
0.01325	0.0043683	-0.11501	-0.010263
0.05865	0.0036074	-0.08407	0.01173
-0.00689	0.014171	-0.04553	0.029993
0.0467	-0.017805	0.1137	0.026789
0.06045	0.0014617	-0.09219	-0.040362
-0.13831	-0.021291	-0.04796	-0.01263
-0.02084	0.013812	-0.09018	-0.033611
0.00743	-0.018603	-0.06713	0.013528
-0.01337	0.0103	0.10381	0.024668
0.0295	0.0055495	0.00568	0.011952
0.02589	0.025166	0.11402	0.018198
0.08093	-0.022793	0.01941	-0.017905
-0.02919	-0.01447	-0.01871	0.038582
0.00705	-0.031819	0.00107	-0.018102
-0.07724	0.008543	0.02154	-0.0022172
-0.14254	-0.0045233	-0.01633	-0.01605
0.07422	0.020561	-0.05682	-0.0092802
0.0958	0.02356	-0.06244	-0.02342
0.05916	-0.019475	0.02585	0.030277
-0.06842	-0.015508	0.06181	0.039367
0.04839	-0.011553	0.11424	0.033318
-0.00051263	0.021832	-0.05066	0.018021
0.07471	-0.026522	-0.02652	-0.0076813
-0.12879	0.019424	0.07297	-0.013862
0.02124	0.0035088	-0.05018	-0.0047536
-0.09965	0.00086836	0.04323	0.023723
-0.09148	0.037217	0.00787	0.0094264
-0.06807	-0.015924	0.10189	-0.033371
0.13626	0.0023032	-0.06631	0.0075667
0.04867	0.0021089	0.15516	-0.010717
0.05038	0.0038811	0.02564	-0.044671
-0.06266	0.011952	-0.06979	0.015811
-0.06896	-0.020471	-0.08149	0.00040824
0.07661	0.018256	-0.0841	-0.027048
-0.05718	-0.03966	-0.00993	0.018567
0.02647	0.023694	0.01891	-0.025076
-0.05312	0.0063367	-0.03369	-0.0051265
0.00045657	-0.0020221	-0.11664	-0.0069205
0.05978	0.027457	0.05728	0.0036768
-0.01838	-0.00038363	0.02291	0.040186
0.0561	-0.02248	0.09022	0.014211
-0.12414	0.0043291	-0.08801	-0.019332
0.11278	0.0079263	-0.02104	-0.022874
0.02576	-0.013111	0.05946	0.010043
0.11968	0.0067159	0.05286	-0.022395
0.04911	0.0078756	0.09439	0.014211
