#Parameters = {kz=-1; eps0=8.854e-012; rho=0.058284280917442; V=5.719094892935e-008; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=0.53333333333333; Rz=16; iy=0.1}
#"X / mm"	"E-Field (Es)_X (X)"
#-----------------------------
-1.6000000000000	-337932.34375000
-1.5733333333333	-342061.81250000
-1.5466666666667	-346191.31250000
-1.5200000000000	-350320.81250000
-1.4933333333333	-354450.28125000
-1.4666666666667	-358579.78125000
-1.4400000000000	-362709.25000000
-1.4133333333333	-367336.93750000
-1.3866666666667	-371964.62500000
-1.3600000000000	-376592.31250000
-1.3333333333333	-381220.00000000
-1.3066666666667	-385847.68750000
-1.2800000000000	-390475.37500000
-1.2533333333333	-395384.56250000
-1.2266666666667	-400293.78125000
-1.2000000000000	-405202.96875000
-1.1733333333333	-410112.18750000
-1.1466666666667	-415021.40625000
-1.1200000000000	-419930.59375000
-1.0933333333333	-424433.25000000
-1.0666666666667	-428935.90625000
-1.0400000000000	-433438.56250000
-1.0133333333333	-437941.21875000
-0.98666666666667	-442443.87500000
-0.96000000000000	-446946.53125000
-0.93333333333333	-449433.46875000
-0.90666666666667	-451920.43750000
-0.88000000000000	-454407.37500000
-0.85333333333333	-456894.31250000
-0.82666666666667	-459381.28125000
-0.80000000000000	-461868.21875000
-0.77333333333333	-459582.62500000
-0.74666666666667	-457297.03125000
-0.72000000000000	-455011.43750000
-0.69333333333333	-452725.84375000
-0.66666666666667	-450440.25000000
-0.64000000000000	-448154.65625000
-0.61333333333333	-438574.43750000
-0.58666666666667	-428994.21875000
-0.56000000000000	-419414.00000000
-0.53333333333333	-409833.78125000
-0.50666666666667	-400253.53125000
-0.48000000000000	-390673.31250000
-0.45333333333333	-373571.28125000
-0.42666666666667	-356469.25000000
-0.40000000000000	-339367.18750000
-0.37333333333333	-322265.15625000
-0.34666666666667	-305163.12500000
-0.32000000000000	-288061.06250000
-0.29333333333333	-265441.62500000
-0.26666666666667	-242822.21875000
-0.24000000000000	-220202.76562500
-0.21333333333333	-197583.34375000
-0.18666666666667	-174963.90625000
-0.16000000000000	-152344.46875000
-0.13333333333333	-126947.38281250
-0.10666666666667	-101550.27343750
-0.080000000000000	-76153.171875000
-0.053333333333333	-50756.078125000
-0.026666666666667	-25358.976562500
0.00000000000000	38.130924224854
0.026666666666667	25444.660156250
0.053333333333333	50851.191406250
0.080000000000000	76257.710937500
0.10666666666667	101664.25000000
0.13333333333333	127070.78125000
0.16000000000000	152360.14062500
0.18666666666667	175027.93750000
0.21333333333333	197695.71875000
0.24000000000000	220363.51562500
0.26666666666667	243031.32812500
0.29333333333333	265699.09375000
0.32000000000000	287901.15625000
0.34666666666667	305125.15625000
0.37333333333333	322349.18750000
0.40000000000000	339573.21875000
0.42666666666667	356797.21875000
0.45333333333333	374021.25000000
0.48000000000000	390289.25000000
0.50666666666667	400063.87500000
0.53333333333333	409838.53125000
0.56000000000000	419613.15625000
0.58666666666667	429387.78125000
0.61333333333333	439162.43750000
0.64000000000000	447689.06250000
0.66666666666667	450170.28125000
0.69333333333333	452651.46875000
0.72000000000000	455132.65625000
0.74666666666667	457613.87500000
0.77333333333333	460095.06250000
0.80000000000000	461539.84375000
0.82666666666667	459175.46875000
0.85333333333333	456811.09375000
0.88000000000000	454446.71875000
0.90666666666667	452082.34375000
0.93333333333333	449717.96875000
0.96000000000000	446816.18750000
0.98666666666667	442358.06250000
1.0133333333333	437899.93750000
1.0400000000000	433441.81250000
1.0666666666667	428983.65625000
1.0933333333333	424525.53125000
1.1200000000000	419931.09375000
1.1466666666667	415017.68750000
1.1733333333333	410104.31250000
1.2000000000000	405190.90625000
1.2266666666667	400277.53125000
1.2533333333333	395364.15625000
1.2800000000000	390539.18750000
1.3066666666667	385884.09375000
1.3333333333333	381229.03125000
1.3600000000000	376573.93750000
1.3866666666667	371918.87500000
1.4133333333333	367263.81250000
1.4400000000000	362797.21875000
1.4666666666667	358631.78125000
1.4933333333333	354466.34375000
1.5200000000000	350300.87500000
1.5466666666667	346135.43750000
1.5733333333333	341969.96875000
1.6000000000000	338034.46875000
