#Parameters = {Rmesh=1; F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Y / cm"	"e-field (t=0..end(0.1)) (pic)_Y (Y)"
#----------------------------------------------
-1.0000000000000	242368.79687500
-0.99004975124378	246185.07812500
-0.98009950248756	250001.39062500
-0.97014925373134	253795.71875000
-0.96019900497512	257589.82812500
-0.95024875621891	263628.12500000
-0.94029850746269	269712.21875000
-0.93034825870647	276832.06250000
-0.92039800995025	283983.93750000
-0.91044776119403	289795.50000000
-0.90049751243781	295551.28125000
-0.89054726368159	300858.56250000
-0.88059701492537	306142.31250000
-0.87064676616915	311752.87500000
-0.86069651741294	317384.37500000
-0.85074626865672	323070.78125000
-0.84079601990050	328761.34375000
-0.83084577114428	334089.68750000
-0.82089552238806	339386.56250000
-0.81094527363184	344620.75000000
-0.80099502487562	349848.68750000
-0.79104477611940	356049.75000000
-0.78109452736318	362358.90625000
-0.77114427860697	369272.28125000
-0.76119402985075	376260.31250000
-0.75124378109453	383585.68750000
-0.74129353233831	390957.00000000
-0.73134328358209	399146.25000000
-0.72139303482587	407457.68750000
-0.71144278606965	416150.65625000
-0.70149253731343	424905.65625000
-0.69154228855721	433863.40625000
-0.68159203980100	442856.84375000
-0.67164179104478	452262.03125000
-0.66169154228856	461745.56250000
-0.65174129353234	472150.75000000
-0.64179104477612	482744.62500000
-0.63184079601990	495399.90625000
-0.62189054726368	508507.75000000
-0.61194029850746	522543.03125000
-0.60199004975124	536795.93750000
-0.59203980099502	550978.68750000
-0.58208955223881	565143.93750000
-0.57213930348259	580139.18750000
-0.56218905472637	595355.18750000
-0.55223880597015	611664.06250000
-0.54228855721393	628281.25000000
-0.53233830845771	645777.37500000
-0.52238805970149	663536.18750000
-0.51243781094527	682020.43750000
-0.50248756218905	700733.87500000
-0.49253731343284	720865.06250000
-0.48258706467662	741468.93750000
-0.47263681592040	764030.25000000
-0.46268656716418	787279.25000000
-0.45273631840796	811392.62500000
-0.44278606965174	835825.68750000
-0.43283582089552	861215.25000000
-0.42288557213930	886976.81250000
-0.41293532338308	915379.50000000
-0.40298507462687	944860.93750000
-0.39303482587065	976879.31250000
-0.38308457711443	1009984.8750000
-0.37313432835821	1045475.5625000
-0.36318407960199	1082037.6250000
-0.35323383084577	1121507.7500000
-0.34328358208955	1162346.5000000
-0.33333333333333	1206734.8750000
-0.32338308457711	1252871.6250000
-0.31343283582090	1303336.0000000
-0.30348258706468	1356029.7500000
-0.29353233830846	1413162.3750000
-0.28358208955224	1472685.1250000
-0.27363184079602	1537758.2500000
-0.26368159203980	1605953.5000000
-0.25373134328358	1681546.0000000
-0.24378109452736	1761483.1250000
-0.23383084577114	1850346.2500000
-0.22388059701493	1944680.1250000
-0.21393034825871	2049800.0000000
-0.20398009950249	2161816.0000000
-0.19402985074627	2287654.2500000
-0.18407960199005	2422707.2500000
-0.17412935323383	2575962.5000000
-0.16417910447761	2741866.2500000
-0.15422885572139	2919524.2500000
-0.14427860696517	3105694.0000000
-0.13432835820896	3291942.2500000
-0.12437810945274	3478250.5000000
-0.11442786069652	3641395.2500000
-0.10447761194030	3786340.0000000
-0.094527363184080	3856544.7500000
-0.084577114427861	3865598.5000000
-0.074626865671642	3769662.5000000
-0.064676616915423	3584290.7500000
-0.054726368159204	3312707.0000000
-0.044776119402985	2964670.7500000
-0.034825870646766	2503827.7500000
-0.024875621890547	1938855.2500000
-0.014925373134328	1268357.0000000
-0.0049751243781094	496471.37500000
0.0049751243781095	-300224.59375000
0.014925373134328	-1121731.2500000
0.024875621890547	-1857557.7500000
0.034825870646766	-2504207.2500000
0.044776119402985	-3008829.2500000
0.054726368159204	-3359588.2500000
0.064676616915423	-3613581.0000000
0.074626865671642	-3758454.5000000
0.084577114427861	-3836291.7500000
0.094527363184080	-3835434.2500000
0.10447761194030	-3782792.0000000
0.11442786069652	-3666856.7500000
0.12437810945274	-3521610.7500000
0.13432835820896	-3339060.2500000
0.14427860696517	-3151197.2500000
0.15422885572139	-2956292.0000000
0.16417910447761	-2771281.2500000
0.17412935323383	-2599935.2500000
0.18407960199005	-2441802.0000000
0.19402985074627	-2302682.5000000
0.20398009950249	-2173462.0000000
0.21393034825871	-2059090.5000000
0.22388059701493	-1952105.7500000
0.23383084577114	-1856675.0000000
0.24378109452736	-1766949.6250000
0.25373134328358	-1686533.6250000
0.26368159203980	-1610425.6250000
0.27363184079602	-1541652.8750000
0.28358208955224	-1476356.2500000
