#Parameters = {F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rmesh=1; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Y / cm"	"e-field (t=0..end(0.1)) (pic)_Y (Y)"
#----------------------------------------------
-1.0000000000000	187436.34375000
-0.98130841121495	191839.23437500
-0.96261682242991	196242.12500000
-0.94392523364486	200645.00000000
-0.92523364485981	205047.89062500
-0.90654205607477	209450.78125000
-0.88785046728972	214568.07812500
-0.86915887850467	220643.70312500
-0.85046728971963	226719.32812500
-0.83177570093458	232794.93750000
-0.81308411214953	238870.56250000
-0.79439252336449	244946.20312500
-0.77570093457944	251021.82812500
-0.75700934579439	257097.45312500
-0.73831775700935	263173.09375000
-0.71962616822430	269248.68750000
-0.70093457943925	275324.31250000
-0.68224299065421	283129.25000000
-0.66355140186916	291267.12500000
-0.64485981308411	299405.03125000
-0.62616822429907	307542.87500000
-0.60747663551402	315680.78125000
-0.58878504672897	323818.68750000
-0.57009345794393	331956.56250000
-0.55140186915888	340094.43750000
-0.53271028037383	348232.34375000
-0.51401869158879	356370.18750000
-0.49532710280374	364899.18750000
-0.47663551401869	364981.56250000
-0.45794392523364	375938.56250000
-0.43925233644860	386895.53125000
-0.42056074766355	397852.53125000
-0.40186915887850	408809.53125000
-0.38317757009346	419766.50000000
-0.36448598130841	430723.53125000
-0.34579439252336	441680.53125000
-0.32710280373832	450856.78125000
-0.30841121495327	456471.62500000
-0.28971962616822	462086.37500000
-0.27102803738318	467701.21875000
-0.25233644859813	473316.00000000
-0.23364485981308	478930.81250000
-0.21495327102804	484545.62500000
-0.19626168224299	490160.40625000
-0.17757009345794	495775.25000000
-0.15887850467290	475740.00000000
-0.14018691588785	419794.75000000
-0.12149532710280	363849.43750000
-0.10280373831776	307904.12500000
-0.084112149532710	251958.85937500
-0.065420560747664	196013.56250000
-0.046728971962617	140068.28125000
-0.028037383177570	84123.000000000
-0.0093457943925235	28177.718750000
0.0093457943925233	-27785.230468750
0.028037383177570	-83765.796875000
0.046728971962617	-139746.37500000
0.065420560747663	-195726.93750000
0.084112149532710	-251707.50000000
0.10280373831776	-307688.06250000
0.12149532710280	-363668.65625000
0.14018691588785	-419649.21875000
0.15887850467290	-475629.78125000
0.17757009345794	-495693.00000000
0.19626168224299	-490100.90625000
0.21495327102804	-484508.81250000
0.23364485981308	-478916.71875000
0.25233644859813	-473324.62500000
0.27102803738318	-467732.50000000
0.28971962616822	-462140.40625000
0.30841121495327	-456548.34375000
0.32710280373832	-450956.21875000
0.34579439252336	-441784.78125000
0.36448598130841	-430823.62500000
0.38317757009346	-419862.46875000
0.40186915887850	-408901.37500000
0.42056074766355	-397940.18750000
0.43925233644860	-386979.06250000
0.45794392523364	-376017.93750000
0.47663551401869	-365056.81250000
0.49532710280374	-364936.78125000
0.51401869158878	-356399.78125000
0.53271028037383	-348253.87500000
0.55140186915888	-340107.93750000
0.57009345794393	-331962.03125000
0.58878504672897	-323816.09375000
0.60747663551402	-315670.18750000
0.62616822429907	-307524.25000000
0.64485981308411	-299378.37500000
0.66355140186916	-291232.43750000
0.68224299065421	-283086.50000000
0.70093457943925	-275273.34375000
0.71962616822430	-269188.34375000
0.73831775700935	-263103.37500000
0.75700934579439	-257018.37500000
0.77570093457944	-250933.37500000
0.79439252336449	-244848.37500000
0.81308411214953	-238763.37500000
0.83177570093458	-232678.37500000
0.85046728971963	-226593.40625000
0.86915887850467	-220508.40625000
0.88785046728972	-214423.40625000
0.90654205607477	-209301.54687500
0.92523364485981	-204897.65625000
0.94392523364486	-200493.78125000
0.96261682242991	-196089.90625000
0.98130841121495	-191686.01562500
1.0000000000000	-187282.12500000
