#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Y / mm"	"E-Field (Es)_Y (Y)"
#-----------------------------
-10.000000000000	-500088.34375000
-9.9920000000000	-500125.59375000
-9.9840000000000	-500162.84375000
-9.9760000000000	-500200.09375000
-9.9680000000000	-500237.31250000
-9.9600000000000	-500274.56250000
-9.9520000000000	-500311.81250000
-9.9440000000000	-500349.06250000
-9.9360000000000	-500386.31250000
-9.9280000000000	-500423.56250000
-9.9200000000000	-500460.78125000
-9.9120000000000	-500498.03125000
-9.9040000000000	-500535.28125000
-9.8960000000000	-500572.53125000
-9.8880000000000	-500609.78125000
-9.8800000000000	-500647.03125000
-9.8720000000000	-500684.28125000
-9.8640000000000	-500721.50000000
-9.8560000000000	-500758.75000000
-9.8480000000000	-500796.00000000
-9.8400000000000	-500833.25000000
-9.8320000000000	-500870.50000000
-9.8240000000000	-500907.75000000
-9.8160000000000	-500945.00000000
-9.8080000000000	-500982.21875000
-9.8000000000000	-501019.46875000
-9.7920000000000	-501056.71875000
-9.7840000000000	-501093.96875000
-9.7760000000000	-501131.21875000
-9.7680000000000	-501168.46875000
-9.7600000000000	-501205.68750000
-9.7520000000000	-501265.46875000
-9.7440000000000	-501377.65625000
-9.7360000000000	-501489.84375000
-9.7280000000000	-501602.03125000
-9.7200000000000	-501714.18750000
-9.7120000000000	-501826.37500000
-9.7040000000000	-501938.56250000
-9.6960000000000	-502050.75000000
-9.6880000000000	-502162.93750000
-9.6800000000000	-502275.09375000
-9.6720000000000	-502387.28125000
-9.6640000000000	-502499.46875000
-9.6560000000000	-502611.65625000
-9.6480000000000	-502723.84375000
-9.6400000000000	-502836.00000000
-9.6320000000000	-502948.18750000
-9.6240000000000	-503060.37500000
-9.6160000000000	-503172.56250000
-9.6080000000000	-503284.75000000
-9.6000000000000	-503396.90625000
-9.5920000000000	-503509.09375000
-9.5840000000000	-503621.28125000
-9.5760000000000	-503733.46875000
-9.5680000000000	-503845.65625000
-9.5600000000000	-503957.81250000
-9.5520000000000	-504070.00000000
-9.5440000000000	-504182.18750000
-9.5360000000000	-504294.37500000
-9.5280000000000	-504406.56250000
-9.5200000000000	-504518.71875000
-9.5120000000000	-504630.90625000
-9.5040000000000	-504788.96875000
-9.4960000000000	-504977.40625000
-9.4880000000000	-505165.90625000
-9.4800000000000	-505354.37500000
-9.4720000000000	-505542.81250000
-9.4640000000000	-505731.31250000
-9.4560000000000	-505919.75000000
-9.4480000000000	-506108.25000000
-9.4400000000000	-506296.71875000
-9.4320000000000	-506485.15625000
-9.4240000000000	-506673.65625000
-9.4160000000000	-506862.09375000
-9.4080000000000	-507050.56250000
-9.4000000000000	-507239.06250000
-9.3920000000000	-507427.50000000
-9.3840000000000	-507616.00000000
-9.3760000000000	-507804.43750000
-9.3680000000000	-507992.90625000
-9.3600000000000	-508181.40625000
-9.3520000000000	-508369.84375000
-9.3440000000000	-508558.34375000
-9.3360000000000	-508746.78125000
-9.3280000000000	-508935.25000000
-9.3200000000000	-509123.75000000
-9.3120000000000	-509312.18750000
-9.3040000000000	-509500.68750000
-9.2960000000000	-509689.15625000
-9.2880000000000	-509877.59375000
-9.2800000000000	-510066.09375000
-9.2720000000000	-510254.53125000
-9.2640000000000	-510443.03125000
-9.2560000000000	-510702.40625000
-9.2480000000000	-510969.50000000
-9.2400000000000	-511236.59375000
-9.2320000000000	-511503.68750000
-9.2240000000000	-511770.78125000
-9.2160000000000	-512037.90625000
-9.2080000000000	-512305.00000000
-9.2000000000000	-512572.09375000
-9.1920000000000	-512839.18750000
-9.1840000000000	-513106.28125000
-9.1760000000000	-513373.40625000
-9.1680000000000	-513640.50000000
-9.1600000000000	-513907.59375000
-9.1520000000000	-514174.68750000
-9.1440000000000	-514441.78125000
-9.1360000000000	-514708.90625000
-9.1280000000000	-514976.00000000
-9.1200000000000	-515243.09375000
-9.1120000000000	-515510.18750000
-9.1040000000000	-515777.28125000
-9.0960000000000	-516044.40625000
-9.0880000000000	-516311.50000000
-9.0800000000000	-516578.59375000
-9.0720000000000	-516845.71875000
-9.0640000000000	-517112.78125000
-9.0560000000000	-517379.90625000
-9.0480000000000	-517647.00000000
-9.0400000000000	-517914.09375000
-9.0320000000000	-518181.21875000
-9.0240000000000	-518448.28125000
-9.0160000000000	-518732.00000000
-9.0080000000000	-519081.03125000
-9.0000000000000	-519430.12500000
-8.9920000000000	-519779.18750000
-8.9840000000000	-520128.25000000
-8.9760000000000	-520477.31250000
-8.9680000000000	-520826.37500000
-8.9600000000000	-521175.43750000
-8.9520000000000	-521524.53125000
-8.9440000000000	-521873.56250000
-8.9360000000000	-522222.65625000
-8.9280000000000	-522571.68750000
-8.9200000000000	-522920.78125000
-8.9120000000000	-523269.87500000
-8.9040000000000	-523618.90625000
-8.8960000000000	-523968.00000000
-8.8880000000000	-524317.06250000
-8.8800000000000	-524666.12500000
-8.8720000000000	-525015.18750000
-8.8640000000000	-525364.25000000
-8.8560000000000	-525713.31250000
-8.8480000000000	-526062.37500000
-8.8400000000000	-526411.43750000
-8.8320000000000	-526760.50000000
-8.8240000000000	-527109.56250000
-8.8160000000000	-527458.62500000
-8.8080000000000	-527807.75000000
-8.8000000000000	-528156.75000000
-8.7920000000000	-528505.87500000
-8.7840000000000	-528854.87500000
-8.7760000000000	-529204.00000000
-8.7680000000000	-529596.50000000
