#Parameters = {F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rmesh=1; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Z / cm"	"e-field (t=0..end(0.1)) (pic)_Z (Z)"
#----------------------------------------------
-2.5000000000000	0.00000000000000
-2.4500000000000	0.00000000000000
-2.4000000000000	0.00000000000000
-2.3500000000000	0.00000000000000
-2.3000000000000	0.00000000000000
-2.2500000000000	80836.617187500
-2.2000000000000	86722.437500000
-2.1500000000000	92608.265625000
-2.1000000000000	98494.117187500
-2.0500000000000	107508.23437500
-2.0000000000000	122625.62500000
-1.9500000000000	137743.01562500
-1.9000000000000	152860.43750000
-1.8500000000000	176406.98437500
-1.8000000000000	203991.20312500
-1.7500000000000	231575.37500000
-1.7000000000000	259697.42187500
-1.6500000000000	327454.43750000
-1.6000000000000	395211.31250000
-1.5500000000000	462968.31250000
-1.5000000000000	554721.93750000
-1.4500000000000	690913.50000000
-1.4000000000000	827105.37500000
-1.3500000000000	963297.00000000
-1.3000000000000	998164.31250000
-1.2500000000000	987063.56250000
-1.2000000000000	975962.81250000
-1.1500000000000	961737.06250000
-1.1000000000000	826503.75000000
-1.0500000000000	691270.12500000
-1.0000000000000	556036.87500000
-0.95000000000000	450683.81250000
-0.90000000000000	397893.68750000
-0.85000000000000	345103.59375000
-0.80000000000000	292313.43750000
-0.75000000000000	259029.67187500
-0.70000000000000	234117.84375000
-0.65000000000000	209206.03125000
-0.60000000000000	184638.39062500
-0.55000000000000	169038.89062500
-0.50000000000000	153439.40625000
-0.45000000000000	137839.90625000
-0.40000000000000	124372.00781250
-0.35000000000000	114468.60937500
-0.30000000000000	104565.21875000
-0.25000000000000	94661.820312500
-0.20000000000000	83693.031250000
-0.15000000000000	72408.656250000
-0.10000000000000	61124.269531250
-0.050000000000000	45474.363281250
0.00000000000000	29824.455078125
0.050000000000000	25559.736328125
0.10000000000000	21295.015625000
0.15000000000000	17223.642578125
0.20000000000000	17894.425781250
0.25000000000000	18565.207031250
0.30000000000000	19235.990234375
0.35000000000000	16868.011718750
0.40000000000000	-3985.0175781250
0.45000000000000	-24838.035156250
0.50000000000000	-45691.062500000
0.55000000000000	-69286.273437500
0.60000000000000	-103882.84375000
0.65000000000000	-138479.37500000
0.70000000000000	-173075.95312500
0.75000000000000	-210039.75000000
0.80000000000000	-253816.31250000
0.85000000000000	-297592.87500000
0.90000000000000	-341369.37500000
0.95000000000000	-410413.71875000
1.0000000000000	-534098.37500000
1.0500000000000	-657782.93750000
1.1000000000000	-781467.75000000
1.1500000000000	-868200.68750000
1.2000000000000	-893230.25000000
1.2500000000000	-918259.75000000
1.3000000000000	-943289.25000000
1.3500000000000	-905524.25000000
1.4000000000000	-785498.00000000
1.4500000000000	-665471.50000000
1.5000000000000	-545445.25000000
1.5500000000000	-453063.68750000
1.6000000000000	-389312.56250000
1.6500000000000	-325561.62500000
1.7000000000000	-261810.54687500
1.7500000000000	-221355.67187500
1.8000000000000	-199993.29687500
1.8500000000000	-178630.87500000
1.9000000000000	-157268.50000000
1.9500000000000	-143104.17187500
2.0000000000000	-133582.15625000
2.0500000000000	-124060.14062500
2.1000000000000	-114538.13281250
2.1500000000000	-108228.66406250
2.2000000000000	-103528.39062500
2.2500000000000	-98828.125000000
2.3000000000000	-94127.859375000
2.3500000000000	-91467.695312500
2.4000000000000	-89582.859375000
2.4500000000000	-87698.031250000
2.5000000000000	-85813.203125000
