#Parameters = {Rmesh=1; F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Z / cm"	"e-field (t=0..end(0.1)) (pic)_Z (Z)"
#----------------------------------------------
-2.5000000000000	0.00000000000000
-2.4900398406375	0.00000000000000
-2.4800796812749	0.00000000000000
-2.4701195219124	0.00000000000000
-2.4601593625498	0.00000000000000
-2.4501992031873	0.00000000000000
-2.4402390438247	0.00000000000000
-2.4302788844622	0.00000000000000
-2.4203187250996	0.00000000000000
-2.4103585657371	0.00000000000000
-2.4003984063745	0.00000000000000
-2.3904382470120	111813.86718750
-2.3804780876494	113060.53125000
-2.3705179282869	114307.18750000
-2.3605577689243	115553.84375000
-2.3505976095618	116800.50000000
-2.3406374501992	118047.16406250
-2.3306772908367	119293.82031250
-2.3207171314741	120540.47656250
-2.3107569721116	121787.13281250
-2.3007968127490	123033.79687500
-2.2908366533865	124280.45312500
-2.2808764940239	125527.10937500
-2.2709163346614	126773.76562500
-2.2609561752988	128020.39843750
-2.2509960159363	129267.05468750
-2.2410358565737	130513.71093750
-2.2310756972112	131760.37500000
-2.2211155378486	133007.03125000
-2.2111553784861	134253.68750000
-2.2011952191235	135259.76562500
-2.1912350597610	134715.85937500
-2.1812749003984	134171.95312500
-2.1713147410359	133628.04687500
-2.1613545816733	133084.14062500
-2.1513944223108	132540.23437500
-2.1414342629482	131996.32812500
-2.1314741035857	131452.42187500
-2.1215139442231	130908.51562500
-2.1115537848606	130364.60937500
-2.1015936254980	129820.71093750
-2.0916334661355	129276.80468750
-2.0816733067729	128732.89843750
-2.0717131474104	128188.99218750
-2.0617529880478	127645.08593750
-2.0517928286853	127101.17968750
-2.0418326693227	126557.27343750
-2.0318725099602	126013.36718750
-2.0219123505976	125469.46093750
-2.0119521912351	124925.55468750
-2.0019920318725	123908.27343750
