#Parameters = {F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rmesh=1; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Z / cm"	"e-field (t=0..end(0.1)) (pic)_Z (Z)"
#----------------------------------------------
-2.5000000000000	0.00000000000000
-2.4500000000000	0.00000000000000
-2.4000000000000	0.00000000000000
-2.3500000000000	0.00000000000000
-2.3000000000000	0.00000000000000
-2.2500000000000	0.00000000000000
-2.2000000000000	0.00000000000000
-2.1500000000000	64505.609375000
-2.1000000000000	67990.671875000
-2.0500000000000	71475.710937500
-2.0000000000000	74960.750000000
-1.9500000000000	79195.046875000
-1.9000000000000	84205.632812500
-1.8500000000000	89216.203125000
-1.8000000000000	94226.789062500
-1.7500000000000	101207.36718750
-1.7000000000000	109286.42187500
-1.6500000000000	117365.50000000
-1.6000000000000	125444.54687500
-1.5500000000000	143808.04687500
-1.5000000000000	164857.98437500
-1.4500000000000	185907.92187500
-1.4000000000000	206957.90625000
-1.3500000000000	232816.92187500
-1.3000000000000	258962.60937500
-1.2500000000000	285108.25000000
-1.2000000000000	309084.12500000
-1.1500000000000	312298.75000000
-1.1000000000000	315513.37500000
-1.0500000000000	318728.03125000
-1.0000000000000	316083.06250000
-0.95000000000000	295428.71875000
-0.90000000000000	274774.40625000
-0.85000000000000	254120.09375000
-0.80000000000000	237649.51562500
-0.75000000000000	227550.65625000
-0.70000000000000	217451.81250000
-0.65000000000000	207352.95312500
-0.60000000000000	207348.51562500
-0.55000000000000	215696.12500000
-0.50000000000000	224043.71875000
-0.45000000000000	232391.31250000
-0.40000000000000	249188.90625000
-0.35000000000000	269640.84375000
-0.30000000000000	290092.78125000
-0.25000000000000	310544.71875000
-0.20000000000000	332942.09375000
-0.15000000000000	355560.21875000
-0.10000000000000	378178.34375000
-0.050000000000000	416717.31250000
0.00000000000000	455256.31250000
0.050000000000000	502418.96875000
0.10000000000000	549581.62500000
0.15000000000000	594536.93750000
0.20000000000000	585353.00000000
0.25000000000000	576169.12500000
0.30000000000000	566985.18750000
0.35000000000000	536603.62500000
0.40000000000000	377274.59375000
0.45000000000000	217945.68750000
0.50000000000000	58616.687500000
0.55000000000000	-117572.00781250
0.60000000000000	-361400.18750000
0.65000000000000	-605228.06250000
0.70000000000000	-849056.18750000
0.75000000000000	-1033098.7500000
0.80000000000000	-1045080.8125000
0.85000000000000	-1057062.8750000
0.90000000000000	-1069044.8750000
0.95000000000000	-1034882.6875000
1.0000000000000	-900936.25000000
1.0500000000000	-766989.93750000
1.1000000000000	-633043.37500000
1.1500000000000	-528407.93750000
1.2000000000000	-472717.06250000
1.2500000000000	-417026.31250000
1.3000000000000	-361335.56250000
1.3500000000000	-318565.09375000
1.4000000000000	-292720.56250000
1.4500000000000	-266876.00000000
1.5000000000000	-241031.46875000
1.5500000000000	-220917.79687500
1.6000000000000	-206739.31250000
1.6500000000000	-192560.87500000
1.7000000000000	-178382.39062500
1.7500000000000	-164962.12500000
1.8000000000000	-152163.25000000
1.8500000000000	-139364.32812500
1.9000000000000	-126565.44531250
1.9500000000000	-119220.59375000
2.0000000000000	-115393.25781250
2.0500000000000	-111565.91406250
2.1000000000000	-107738.57031250
2.1500000000000	-101803.59375000
2.2000000000000	-94812.953125000
2.2500000000000	-87822.312500000
2.3000000000000	-80831.671875000
2.3500000000000	-76752.820312500
2.4000000000000	-73780.578125000
2.4500000000000	-70808.343750000
2.5000000000000	-67836.117187500
