#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Z / mm"	"E-Field (Es)_Z (Z)"
#-----------------------------
-50.000000000000	-55.741733551025
-49.992000000000	-55.745361328125
-49.984000000000	-55.748985290527
-49.976000000000	-55.752613067627
-49.968000000000	-55.756240844727
-49.960000000000	-55.759868621826
-49.952000000000	-55.763496398926
-49.944000000000	-55.767120361328
-49.936000000000	-55.770748138428
-49.928000000000	-55.774375915527
-49.920000000000	-55.778003692627
-49.912000000000	-55.781631469727
-49.904000000000	-55.785255432129
-49.896000000000	-55.788883209229
-49.888000000000	-55.792510986328
-49.880000000000	-55.796134948730
-49.872000000000	-55.799762725830
-49.864000000000	-55.803390502930
-49.856000000000	-55.807018280029
-49.848000000000	-55.810642242432
-49.840000000000	-55.814270019531
-49.832000000000	-55.817897796631
-49.824000000000	-55.821525573730
-49.816000000000	-55.825149536133
-49.808000000000	-55.828777313232
-49.800000000000	-55.832405090332
-49.792000000000	-55.836032867432
-49.784000000000	-55.839656829834
-49.776000000000	-55.843284606934
-49.768000000000	-55.846912384033
-49.760000000000	-55.850540161133
-49.752000000000	-55.854167938232
-49.744000000000	-55.862071990967
-49.736000000000	-55.871311187744
-49.728000000000	-55.880546569824
-49.720000000000	-55.889781951904
-49.712000000000	-55.899021148682
-49.704000000000	-55.908260345459
-49.696000000000	-55.917495727539
-49.688000000000	-55.926734924316
-49.680000000000	-55.935970306396
-49.672000000000	-55.945205688477
-49.664000000000	-55.954444885254
-49.656000000000	-55.963684082031
-49.648000000000	-55.972919464111
-49.640000000000	-55.982158660889
-49.632000000000	-55.991394042969
-49.624000000000	-56.000629425049
-49.616000000000	-56.009868621826
-49.608000000000	-56.019104003906
-49.600000000000	-56.028343200684
-49.592000000000	-56.037582397461
-49.584000000000	-56.046817779541
-49.576000000000	-56.056053161621
-49.568000000000	-56.065292358398
-49.560000000000	-56.074527740479
-49.552000000000	-56.083766937256
-49.544000000000	-56.093006134033
-49.536000000000	-56.102241516113
-49.528000000000	-56.111476898193
-49.520000000000	-56.120716094971
-49.512000000000	-56.129951477051
-49.504000000000	-56.139186859131
-49.496000000000	-56.150928497314
-49.488000000000	-56.164916992188
-49.480000000000	-56.178905487061
-49.472000000000	-56.192890167236
-49.464000000000	-56.206878662109
-49.456000000000	-56.220863342285
-49.448000000000	-56.234851837158
-49.440000000000	-56.248844146729
-49.432000000000	-56.262832641602
-49.424000000000	-56.276821136475
-49.416000000000	-56.290805816650
-49.408000000000	-56.304794311523
-49.400000000000	-56.318782806396
-49.392000000000	-56.332775115967
-49.384000000000	-56.346763610840
-49.376000000000	-56.360748291016
-49.368000000000	-56.374736785889
-49.360000000000	-56.388721466064
-49.352000000000	-56.402709960938
-49.344000000000	-56.416698455811
-49.336000000000	-56.430690765381
-49.328000000000	-56.444679260254
-49.320000000000	-56.458663940430
-49.312000000000	-56.472652435303
-49.304000000000	-56.486640930176
-49.296000000000	-56.500625610352
-49.288000000000	-56.514617919922
-49.280000000000	-56.528606414795
-49.272000000000	-56.542594909668
-49.264000000000	-56.556579589844
-49.256000000000	-56.570568084717
-49.248000000000	-56.586170196533
-49.240000000000	-56.605743408203
-49.232000000000	-56.625324249268
-49.224000000000	-56.644897460938
-49.216000000000	-56.664474487305
-49.208000000000	-56.684047698975
-49.200000000000	-56.703620910645
-49.192000000000	-56.723194122314
-49.184000000000	-56.742774963379
-49.176000000000	-56.762348175049
-49.168000000000	-56.781921386719
-49.160000000000	-56.801494598389
-49.152000000000	-56.821071624756
-49.144000000000	-56.840644836426
-49.136000000000	-56.860218048096
-49.128000000000	-56.879798889160
-49.120000000000	-56.899372100830
-49.112000000000	-56.918945312500
-49.104000000000	-56.938518524170
-49.096000000000	-56.958091735840
-49.088000000000	-56.977668762207
-49.080000000000	-56.997241973877
-49.072000000000	-57.016822814941
-49.064000000000	-57.036396026611
-49.056000000000	-57.055969238281
-49.048000000000	-57.075542449951
-49.040000000000	-57.095115661621
-49.032000000000	-57.114688873291
-49.024000000000	-57.134273529053
-49.016000000000	-57.153846740723
-49.008000000000	-57.173419952393
-49.000000000000	-57.193290710449
-48.992000000000	-57.218528747559
-48.984000000000	-57.243766784668
-48.976000000000	-57.269004821777
-48.968000000000	-57.294254302979
-48.960000000000	-57.319492340088
-48.952000000000	-57.344730377197
-48.944000000000	-57.369968414307
-48.936000000000	-57.395206451416
-48.928000000000	-57.420444488525
-48.920000000000	-57.445693969727
-48.912000000000	-57.470932006836
-48.904000000000	-57.496170043945
-48.896000000000	-57.521408081055
-48.888000000000	-57.546646118164
-48.880000000000	-57.571884155273
-48.872000000000	-57.597122192383
-48.864000000000	-57.622371673584
-48.856000000000	-57.647609710693
-48.848000000000	-57.672847747803
-48.840000000000	-57.698085784912
-48.832000000000	-57.723323822021
-48.824000000000	-57.748561859131
-48.816000000000	-57.773799896240
-48.808000000000	-57.799049377441
-48.800000000000	-57.824287414551
-48.792000000000	-57.849525451660
-48.784000000000	-57.874763488770
-48.776000000000	-57.900001525879
-48.768000000000	-57.925239562988
-48.760000000000	-57.950489044189
-48.752000000000	-57.975727081299
-48.744000000000	-58.005645751953
-48.736000000000	-58.036621093750
-48.728000000000	-58.067596435547
-48.720000000000	-58.098571777344
-48.712000000000	-58.129547119141
-48.704000000000	-58.160537719727
-48.696000000000	-58.191516876221
-48.688000000000	-58.222492218018
-48.680000000000	-58.253467559814
-48.672000000000	-58.284442901611
-48.664000000000	-58.315418243408
-48.656000000000	-58.346412658691
-48.648000000000	-58.377388000488
-48.640000000000	-58.408363342285
-48.632000000000	-58.439338684082
-48.624000000000	-58.470314025879
-48.616000000000	-58.501293182373
-48.608000000000	-58.532268524170
-48.600000000000	-58.563259124756
-48.592000000000	-58.594234466553
-48.584000000000	-58.625209808350
-48.576000000000	-58.656185150146
-48.568000000000	-58.687164306641
-48.560000000000	-58.718139648438
-48.552000000000	-58.749130249023
-48.544000000000	-58.780105590820
-48.536000000000	-58.811080932617
-48.528000000000	-58.842056274414
-48.520000000000	-58.873035430908
-48.512000000000	-58.904010772705
-48.504000000000	-58.934986114502
-48.496000000000	-58.969352722168
-48.488000000000	-59.006168365479
-48.480000000000	-59.042984008789
-48.472000000000	-59.079795837402
-48.464000000000	-59.116611480713
-48.456000000000	-59.153427124023
-48.448000000000	-59.190242767334
-48.440000000000	-59.227073669434
-48.432000000000	-59.263885498047
-48.424000000000	-59.300701141357
-48.416000000000	-59.337516784668
