#Parameters = {kz=-1; eps0=8.854e-012; rho=0.058284280917442; V=5.719094892935e-008; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=0.53333333333333; Rz=16; iy=0.1}
#"Z / mm"	"E-Field (Es)_Z (Z)_1"
#-------------------------------
-16.000000000000	-268588.81250000
-15.973333333333	-270807.09375000
-15.946666666667	-273025.34375000
-15.920000000000	-275243.65625000
-15.893333333333	-277461.93750000
-15.866666666667	-279680.18750000
-15.840000000000	-281898.50000000
-15.813333333333	-284116.78125000
-15.786666666667	-286335.06250000
-15.760000000000	-288553.34375000
-15.733333333333	-290718.50000000
-15.706666666667	-292851.78125000
-15.680000000000	-294985.06250000
-15.653333333333	-297118.34375000
-15.626666666667	-299251.62500000
-15.600000000000	-301384.90625000
-15.573333333333	-303518.18750000
-15.546666666667	-305651.46875000
-15.520000000000	-307784.78125000
-15.493333333333	-309879.65625000
-15.466666666667	-311859.12500000
-15.440000000000	-313838.59375000
-15.413333333333	-315818.03125000
-15.386666666667	-317797.53125000
-15.360000000000	-319776.96875000
-15.333333333333	-321756.43750000
-15.306666666667	-323735.87500000
-15.280000000000	-325715.37500000
-15.253333333333	-327694.81250000
-15.226666666667	-329500.31250000
-15.200000000000	-331280.90625000
-15.173333333333	-333061.53125000
-15.146666666667	-334842.18750000
-15.120000000000	-336622.78125000
-15.093333333333	-338403.43750000
-15.066666666667	-340184.03125000
-15.040000000000	-341964.65625000
-15.013333333333	-343745.28125000
-14.986666666667	-345415.93750000
-14.960000000000	-346976.59375000
-14.933333333333	-348537.28125000
-14.906666666667	-350097.93750000
-14.880000000000	-351658.62500000
-14.853333333333	-353219.28125000
-14.826666666667	-354779.96875000
-14.800000000000	-356340.65625000
-14.773333333333	-357901.31250000
-14.746666666667	-359434.37500000
-14.720000000000	-360774.03125000
-14.693333333333	-362113.71875000
-14.666666666667	-363453.37500000
-14.640000000000	-364793.06250000
-14.613333333333	-366132.71875000
-14.586666666667	-367472.40625000
-14.560000000000	-368812.06250000
-14.533333333333	-370151.75000000
-14.506666666667	-371491.40625000
-14.480000000000	-372670.96875000
-14.453333333333	-373797.09375000
-14.426666666667	-374923.25000000
-14.400000000000	-376049.40625000
-14.373333333333	-377175.53125000
-14.346666666667	-378301.65625000
-14.320000000000	-379427.81250000
-14.293333333333	-380553.93750000
-14.266666666667	-381680.09375000
-14.240000000000	-382730.40625000
-14.213333333333	-383654.50000000
-14.186666666667	-384578.53125000
-14.160000000000	-385502.59375000
-14.133333333333	-386426.62500000
-14.106666666667	-387350.68750000
-14.080000000000	-388274.75000000
-14.053333333333	-389198.81250000
-14.026666666667	-390122.84375000
-14.000000000000	-391046.90625000
-13.973333333333	-391794.34375000
-13.946666666667	-392541.78125000
-13.920000000000	-393289.18750000
-13.893333333333	-394036.62500000
-13.866666666667	-394784.06250000
-13.840000000000	-395531.50000000
-13.813333333333	-396278.90625000
-13.786666666667	-397026.34375000
-13.760000000000	-397773.78125000
-13.733333333333	-398426.28125000
-13.706666666667	-399021.78125000
-13.680000000000	-399617.31250000
-13.653333333333	-400212.81250000
-13.626666666667	-400808.34375000
-13.600000000000	-401403.87500000
-13.573333333333	-401999.37500000
-13.546666666667	-402594.90625000
-13.520000000000	-403190.37500000
-13.493333333333	-403747.21875000
-13.466666666667	-404187.93750000
-13.440000000000	-404628.68750000
-13.413333333333	-405069.37500000
-13.386666666667	-405510.09375000
-13.360000000000	-405950.81250000
-13.333333333333	-406391.56250000
-13.306666666667	-406832.25000000
-13.280000000000	-407272.96875000
-13.253333333333	-407713.71875000
-13.226666666667	-408019.87500000
-13.200000000000	-408306.81250000
-13.173333333333	-408593.78125000
-13.146666666667	-408880.75000000
-13.120000000000	-409167.71875000
-13.093333333333	-409454.65625000
-13.066666666667	-409741.62500000
-13.040000000000	-410028.59375000
-13.013333333333	-410315.53125000
-12.986666666667	-410543.56250000
-12.960000000000	-410712.62500000
-12.933333333333	-410881.65625000
-12.906666666667	-411050.68750000
-12.880000000000	-411219.75000000
-12.853333333333	-411388.78125000
-12.826666666667	-411557.84375000
-12.800000000000	-411726.90625000
-12.773333333333	-411895.93750000
-12.746666666667	-412055.28125000
-12.720000000000	-412146.62500000
-12.693333333333	-412238.00000000
-12.666666666667	-412329.37500000
-12.640000000000	-412420.75000000
-12.613333333333	-412512.09375000
-12.586666666667	-412603.46875000
-12.560000000000	-412694.81250000
-12.533333333333	-412786.18750000
-12.506666666667	-412877.56250000
-12.480000000000	-412916.15625000
-12.453333333333	-412937.18750000
-12.426666666667	-412958.21875000
-12.400000000000	-412979.25000000
-12.373333333333	-413000.28125000
-12.346666666667	-413021.31250000
-12.320000000000	-413042.34375000
-12.293333333333	-413063.37500000
-12.266666666667	-413084.40625000
-12.240000000000	-413062.03125000
-12.213333333333	-412967.18750000
-12.186666666667	-412872.40625000
-12.160000000000	-412777.56250000
-12.133333333333	-412682.75000000
-12.106666666667	-412587.96875000
-12.080000000000	-412493.12500000
-12.053333333333	-412398.31250000
-12.026666666667	-412303.53125000
-12.000000000000	-412208.68750000
-11.973333333333	-411974.03125000
-11.946666666667	-411739.34375000
-11.920000000000	-411504.68750000
-11.893333333333	-411270.03125000
-11.866666666667	-411035.34375000
-11.840000000000	-410800.68750000
-11.813333333333	-410566.03125000
-11.786666666667	-410331.34375000
-11.760000000000	-410096.68750000
-11.733333333333	-409802.96875000
-11.706666666667	-409473.75000000
-11.680000000000	-409144.56250000
-11.653333333333	-408815.40625000
-11.626666666667	-408486.18750000
-11.600000000000	-408157.00000000
-11.573333333333	-407827.81250000
-11.546666666667	-407498.62500000
-11.520000000000	-407169.40625000
-11.493333333333	-406831.18750000
-11.466666666667	-406465.84375000
-11.440000000000	-406100.53125000
-11.413333333333	-405735.21875000
-11.386666666667	-405369.90625000
-11.360000000000	-405004.59375000
-11.333333333333	-404639.28125000
-11.306666666667	-404273.96875000
-11.280000000000	-403908.65625000
-11.253333333333	-403543.34375000
-11.226666666667	-403186.78125000
-11.200000000000	-402831.50000000
-11.173333333333	-402476.21875000
-11.146666666667	-402120.90625000
-11.120000000000	-401765.62500000
-11.093333333333	-401410.31250000
-11.066666666667	-401055.03125000
-11.040000000000	-400699.68750000
-11.013333333333	-400344.43750000
-10.986666666667	-399994.03125000
-10.960000000000	-399648.53125000
-10.933333333333	-399303.03125000
-10.906666666667	-398957.53125000
-10.880000000000	-398612.06250000
-10.853333333333	-398266.53125000
-10.826666666667	-397921.06250000
-10.800000000000	-397575.56250000
-10.773333333333	-397230.06250000
-10.746666666667	-396873.31250000
-10.720000000000	-396437.59375000
-10.693333333333	-396001.87500000
-10.666666666667	-395566.15625000
-10.640000000000	-395130.43750000
-10.613333333333	-394694.71875000
-10.586666666667	-394259.03125000
-10.560000000000	-393823.31250000
-10.533333333333	-393387.59375000
-10.506666666667	-392951.87500000
-10.480000000000	-392395.37500000
-10.453333333333	-391798.59375000
-10.426666666667	-391201.84375000
-10.400000000000	-390605.06250000
-10.373333333333	-390008.31250000
-10.346666666667	-389411.56250000
-10.320000000000	-388814.78125000
-10.293333333333	-388218.00000000
-10.266666666667	-387621.28125000
-10.240000000000	-386984.34375000
-10.213333333333	-386280.46875000
-10.186666666667	-385576.62500000
-10.160000000000	-384872.75000000
-10.133333333333	-384168.90625000
-10.106666666667	-383465.06250000
-10.080000000000	-382761.18750000
-10.053333333333	-382057.34375000
-10.026666666667	-381353.46875000
-10.000000000000	-380649.62500000
-9.9733333333333	-379912.34375000
-9.9466666666667	-379175.09375000
-9.9200000000000	-378437.84375000
-9.8933333333333	-377700.59375000
-9.8666666666667	-376963.34375000
-9.8400000000000	-376226.06250000
-9.8133333333333	-375488.81250000
-9.7866666666667	-374751.56250000
-9.7600000000000	-374014.28125000
-9.7333333333333	-373275.00000000
-9.7066666666667	-372534.46875000
-9.6800000000000	-371793.96875000
-9.6533333333333	-371053.46875000
-9.6266666666667	-370312.93750000
-9.6000000000000	-369572.43750000
-9.5733333333333	-368831.90625000
-9.5466666666667	-368091.37500000
-9.5200000000000	-367350.87500000
-9.4933333333333	-366613.68750000
-9.4666666666667	-365886.68750000
-9.4400000000000	-365159.68750000
-9.4133333333333	-364432.65625000
-9.3866666666667	-363705.62500000
-9.3600000000000	-362978.62500000
-9.3333333333333	-362251.59375000
-9.3066666666667	-361524.56250000
-9.2800000000000	-360797.56250000
-9.2533333333333	-360070.53125000
-9.2266666666667	-359375.75000000
-9.2000000000000	-358685.53125000
-9.1733333333333	-357995.34375000
-9.1466666666667	-357305.18750000
-9.1200000000000	-356614.96875000
-9.0933333333333	-355924.78125000
-9.0666666666667	-355234.59375000
-9.0400000000000	-354544.37500000
-9.0133333333333	-353854.18750000
-8.9866666666667	-353184.87500000
-8.9600000000000	-352536.37500000
-8.9333333333333	-351887.87500000
-8.9066666666667	-351239.37500000
-8.8800000000000	-350590.90625000
-8.8533333333333	-349942.40625000
-8.8266666666667	-349293.93750000
-8.8000000000000	-348645.43750000
-8.7733333333333	-347996.96875000
-8.7466666666667	-347346.46875000
-8.7200000000000	-346682.00000000
-8.6933333333333	-346017.53125000
-8.6666666666667	-345353.06250000
-8.6400000000000	-344688.59375000
-8.6133333333333	-344024.15625000
-8.5866666666667	-343359.68750000
-8.5600000000000	-342695.21875000
-8.5333333333333	-342030.75000000
-8.5066666666667	-341366.28125000
-8.4800000000000	-340614.78125000
-8.4533333333333	-339834.34375000
-8.4266666666667	-339053.87500000
-8.4000000000000	-338273.40625000
-8.3733333333333	-337492.96875000
-8.3466666666667	-336712.50000000
-8.3200000000000	-335932.03125000
-8.2933333333333	-335151.56250000
-8.2666666666667	-334371.12500000
-8.2400000000000	-333542.12500000
-8.2133333333333	-332632.12500000
-8.1866666666667	-331722.18750000
-8.1600000000000	-330812.21875000
-8.1333333333333	-329902.25000000
-8.1066666666667	-328992.28125000
-8.0800000000000	-328082.34375000
-8.0533333333333	-327172.34375000
-8.0266666666667	-326262.40625000
-8.0000000000000	-325352.40625000
-7.9733333333333	-324363.56250000
-7.9466666666667	-323374.68750000
-7.9200000000000	-322385.81250000
-7.8933333333333	-321396.93750000
-7.8666666666667	-320408.09375000
-7.8400000000000	-319419.21875000
-7.8133333333333	-318430.34375000
-7.7866666666667	-317441.46875000
-7.7600000000000	-316452.59375000
-7.7333333333333	-315429.15625000
-7.7066666666667	-314384.96875000
-7.6800000000000	-313340.75000000
-7.6533333333333	-312296.56250000
-7.6266666666667	-311252.34375000
-7.6000000000000	-310208.15625000
-7.5733333333333	-309163.93750000
-7.5466666666667	-308119.75000000
-7.5200000000000	-307075.56250000
-7.4933333333333	-306026.93750000
-7.4666666666667	-304964.90625000
-7.4400000000000	-303902.87500000
-7.4133333333333	-302840.90625000
-7.3866666666667	-301778.87500000
-7.3600000000000	-300716.84375000
-7.3333333333333	-299654.87500000
-7.3066666666667	-298592.84375000
-7.2800000000000	-297530.84375000
-7.2533333333333	-296468.84375000
-7.2266666666667	-295425.00000000
-7.2000000000000	-294383.81250000
-7.1733333333333	-293342.59375000
-7.1466666666667	-292301.37500000
-7.1200000000000	-291260.15625000
-7.0933333333333	-290218.96875000
-7.0666666666667	-289177.75000000
-7.0400000000000	-288136.53125000
-7.0133333333333	-287095.31250000
-6.9866666666667	-286066.46875000
-6.9600000000000	-285049.96875000
-6.9333333333333	-284033.50000000
-6.9066666666667	-283017.00000000
-6.8800000000000	-282000.46875000
-6.8533333333333	-280983.96875000
-6.8266666666667	-279967.46875000
-6.8000000000000	-278951.00000000
-6.7733333333333	-277934.50000000
-6.7466666666667	-276920.68750000
-6.7200000000000	-275925.93750000
-6.6933333333333	-274931.18750000
-6.6666666666667	-273936.37500000
-6.6400000000000	-272941.62500000
-6.6133333333333	-271946.87500000
-6.5866666666667	-270952.09375000
-6.5600000000000	-269957.34375000
-6.5333333333333	-268962.59375000
-6.5066666666667	-267967.81250000
-6.4800000000000	-266979.90625000
-6.4533333333333	-265994.28125000
-6.4266666666667	-265008.65625000
-6.4000000000000	-264023.03125000
-6.3733333333333	-263037.37500000
-6.3466666666667	-262051.76562500
-6.3200000000000	-261066.15625000
-6.2933333333333	-260080.51562500
-6.2666666666667	-259094.90625000
-6.2400000000000	-258117.85937500
-6.2133333333333	-257155.14062500
-6.1866666666667	-256192.42187500
-6.1600000000000	-255229.71875000
-6.1333333333333	-254267.01562500
-6.1066666666667	-253304.29687500
-6.0800000000000	-252341.59375000
-6.0533333333333	-251378.87500000
-6.0266666666667	-250416.18750000
-6.0000000000000	-249453.46875000
-5.9733333333333	-248557.01562500
-5.9466666666667	-247660.56250000
-5.9200000000000	-246764.12500000
-5.8933333333333	-245867.67187500
-5.8666666666667	-244971.21875000
-5.8400000000000	-244074.76562500
-5.8133333333333	-243178.32812500
-5.7866666666667	-242281.87500000
-5.7600000000000	-241385.42187500
-5.7333333333333	-240530.85937500
-5.7066666666667	-239701.45312500
-5.6800000000000	-238872.06250000
-5.6533333333333	-238042.65625000
-5.6266666666667	-237213.26562500
-5.6000000000000	-236383.84375000
-5.5733333333333	-235554.45312500
-5.5466666666667	-234725.06250000
-5.5200000000000	-233895.65625000
-5.4933333333333	-233064.17187500
-5.4666666666667	-232226.43750000
-5.4400000000000	-231388.68750000
-5.4133333333333	-230550.95312500
-5.3866666666667	-229713.20312500
-5.3600000000000	-228875.46875000
-5.3333333333333	-228037.73437500
-5.3066666666667	-227200.00000000
-5.2800000000000	-226362.26562500
-5.2533333333333	-225524.51562500
-5.2266666666667	-224587.96875000
-5.2000000000000	-223637.34375000
-5.1733333333333	-222686.70312500
-5.1466666666667	-221736.06250000
-5.1200000000000	-220785.42187500
-5.0933333333333	-219834.78125000
-5.0666666666667	-218884.14062500
-5.0400000000000	-217933.51562500
-5.0133333333333	-216982.85937500
-4.9866666666667	-215964.20312500
-4.9600000000000	-214877.48437500
-4.9333333333333	-213790.78125000
-4.9066666666667	-212704.07812500
-4.8800000000000	-211617.35937500
-4.8533333333333	-210530.67187500
-4.8266666666667	-209443.96875000
-4.8000000000000	-208357.25000000
-4.7733333333333	-207270.54687500
-4.7466666666667	-206174.35937500
-4.7200000000000	-205011.96875000
-4.6933333333333	-203849.56250000
-4.6666666666667	-202687.15625000
-4.6400000000000	-201524.75000000
-4.6133333333333	-200362.34375000
-4.5866666666667	-199199.93750000
-4.5600000000000	-198037.54687500
-4.5333333333333	-196875.14062500
-4.5066666666667	-195712.73437500
-4.4800000000000	-194543.18750000
-4.4533333333333	-193371.26562500
-4.4266666666667	-192199.32812500
-4.4000000000000	-191027.39062500
-4.3733333333333	-189855.45312500
-4.3466666666667	-188683.53125000
-4.3200000000000	-187511.60937500
-4.2933333333333	-186339.67187500
-4.2666666666667	-185167.73437500
-4.2400000000000	-184002.71875000
-4.2133333333333	-182849.28125000
-4.1866666666667	-181695.82812500
-4.1600000000000	-180542.39062500
-4.1333333333333	-179388.93750000
-4.1066666666667	-178235.48437500
