        z / m                Envelope/real
----------------------------------------------------------------------
                       0                    0.0046996798
                       0                     0.004363117
                   0.005                    0.0046996798
                    0.01                    0.0046925088
                   0.015                     0.004574972
                    0.02                     0.004234644
                   0.025                     0.003703129
                    0.03                    0.0030073916
                   0.035                    0.0021815413
                    0.04                    0.0012762902
                   0.045                   0.00047676333
                    0.05                   0.00091004477
                   0.055                    0.0018187778
                    0.06                     0.002685324
                   0.065                    0.0034371112
                    0.07                    0.0040365247
                   0.075                    0.0044526845
                    0.08                    0.0046662868
                   0.085                    0.0046674386
                    0.09                    0.0044404507
                   0.095                    0.0040127079
                     0.1                    0.0034052755
                   0.105                    0.0026459772
                    0.11                    0.0017763404
                   0.115                   0.00087110545
                    0.12                   0.00050419183
                   0.125                    0.0013243091
                    0.13                    0.0022282162
                   0.135                    0.0030490032
                    0.14                    0.0037362702
                   0.145                    0.0042538069
                    0.15                    0.0045793393
                   0.155                    0.0046949331
                    0.16                    0.0045876376
                   0.165                     0.004268372
                    0.17                    0.0037559769
                   0.175                    0.0030776103
                    0.18                    0.0022564188
                   0.185                    0.0013664563
                    0.19                   0.00060074636
                   0.195                   0.00083996381
                     0.2                    0.0017454547
                   0.205                    0.0026196115
                    0.21                    0.0033843438
                   0.215                    0.0039988003
                    0.22                    0.0044310748
                   0.225                    0.0046610858
                    0.23                    0.0046756292
                   0.235                    0.0044652411
                    0.24                    0.0040567548
                   0.245                    0.0034658334
                    0.25                    0.0027245642

