Distance [m]	Bz [Gs] 
-0.2876	5.689348551
-0.2786	6.084371342
-0.2696	6.51517952
-0.2606	7.072667876
-0.2516	7.60242176
-0.2426	8.18573312
-0.2336	8.947484444
-0.2246	9.675675876
-0.2156	10.63161401
-0.2066	11.5515392
-0.1976	12.57721856
-0.1886	13.93734542
-0.1796	15.2575909
-0.1706	17.02143317
-0.1616	18.7490395
-0.1526	20.70622208
-0.1436	23.34486073
-0.1346	25.96152661
-0.1256	29.51409664
-0.1166	33.06850076
-0.1076	37.17723932
-0.0986	43.07397857
-0.0896	48.82840578
-0.0806	56.78609012
-0.0716	64.8962069
-0.0626	74.434002
-0.0536	87.66571309
-0.0446	101.0447847
-0.0356	124.5130105
-0.0266	144.2524
-0.0176	167.4491481
-0.0086	199.6427044
0.0004	232.1229874
0.0094	276.1359435
0.0184	319.5604498
0.0274	367.9743198
0.0364	430.2940943
0.0454	487.7734481
0.0544	557.7743645
0.0634	619.0298359
0.0724	679.3427215
0.0814	746.6237607
0.0904	800.2682636
0.0994	856.5342968
0.1084	899.4249761
0.1174	936.3219772
0.1264	972.070527
0.1354	996.5797844
0.1444	1017.662273
0.1534	1031.372272
0.1624	1039.276898
0.1714	1042.341961
0.1804	1039.837447
0.1894	1029.667442
0.1984	1018.59182
0.2074	1001.596328
0.2164	983.1425338
0.2254	958.3478382
0.2344	922.4207884
0.2434	896.186385
0.2524	866.2358786
0.2614	832.7949807
0.2704	807.7449772
0.2794	777.6531226
0.2884	771.2306756
0.2974	764.5443381
0.3064	764.7818733
0.3154	771.6381535
0.3244	776.9890752
0.3334	799.6217095
0.3424	815.8098921
0.3514	834.7564559
0.3604	850.9380375
0.3694	862.8219683
0.3784	879.7827883
0.3874	889.5880457
0.3964	897.2413231
0.4054	902.9884731
0.4144	904.174571
0.4234	904.7719234
0.4324	901.8109139
0.4414	893.2744603
0.4504	887.3435701
0.4594	876.7507383
0.4684	863.4970948
0.4774	850.5377099
0.4864	830.2935365
0.4954	822.6311729
0.5044	812.1362538
0.5134	804.8740175
0.5224	803.9493912
0.5314	801.4453643
0.5404	824.6856211
0.5494	845.3535828
0.5584	877.7868339
0.5674	910.8666608
0.5764	942.3025517
0.5854	990.5608342
0.5944	1027.000661
0.6034	1066.76097
0.6124	1096.907888
0.6194	1115.409205
0.6284	1141.89052
0.6374	1157.137754
0.6464	1168.26587
0.6554	1171.939316
0.6644	1169.303723
0.6734	1160.970327
0.6824	1146.863596
0.6914	1122.690148
0.7004	1095.370084
0.7094	1061.22875
0.7184	1013.91718
0.7274	966.008858
0.7364	902.3544028
0.7454	841.9161279
0.7544	777.0059218
0.7634	698.0510993
0.7724	629.1267386
0.7814	549.9859221
0.7904	485.1265145
0.7994	424.3357517
0.8084	360.1730628
0.8174	311.2664882
0.8264	261.5094634
0.8354	224.8619655
0.8444	193.2573677
0.8534	162.3741667
0.8624	140.1090819
0.8694	114.1788595
