        Position: X-component / [m]                x_Vx/
----------------------------------------------------------------------
           -0.0045153893                        -1992713
           -0.0045108404                      -1522918.8
           -0.0045108224                      -1524679.2
           -0.0045100203                      -1222015.6
           -0.0045034259                      -1251036.5
           -0.0045029754                      -2404060.1
           -0.0045011714                      -726536.67
           -0.0044992691                      -1905858.9
           -0.0044951596                      -455399.29
            -0.004494082                      -2432077.7
           -0.0044895905                      -2819965.4
           -0.0044886624                      -2109811.8
           -0.0044845877                      -2832602.3
           -0.0044835721                        -2337044
           -0.0044812502                      -542594.16
           -0.0044760077                      -1326105.6
           -0.0044738303                      -2436297.9
            -0.004473601                      -45867.309
           -0.0044730619                      -2573881.6
           -0.0044686273                      -3111443.2
           -0.0044664225                      -984869.81
           -0.0044651552                      -85357.895
           -0.0044646536                      -3299821.9
           -0.0044592047                      -3437340.7
           -0.0044527463                      -3117565.9
           -0.0044505643                       443350.97
            -0.004441713                      -3576549.1
           -0.0044351455                      -280517.18
           -0.0044319038                       427386.49
           -0.0044290532                      -3020651.5
           -0.0044282959                      -1978883.8
           -0.0044275135                      -1612318.4
           -0.0044261271                        48976.54
            -0.004424024                      -3416039.7
           -0.0044192476                        -1051809
           -0.0044185292                        -4075605
           -0.0044170829                      -3299125.9
           -0.0044149917                       798680.35
           -0.0044148495                       -727013.2
           -0.0044063374                      -3968737.8
           -0.0044016393                      -3784038.1
           -0.0043980113                      -13277.615
           -0.0043930769                      -2630979.2
           -0.0043927458                        -4346987
           -0.0043917964                       1079275.5
           -0.0043898382                      -3861948.3
           -0.0043852708                       943193.78
            -0.004379324                      -4071337.3
           -0.0043747566                       505257.32
            -0.004371971                        -3016844
            -0.004362307                      -4339087.7
           -0.0043513621                      -4155673.8
           -0.0043511047                      -4684362.1
           -0.0043477002                      -1285295.2
           -0.0043455122                       1485264.2
           -0.0043440802                      -4897265.4
           -0.0043384551                        -3625011
           -0.0043384365                      -1612034.1
           -0.0043348982                       462722.94
           -0.0043294437                       1381876.7
           -0.0043282217                      -528367.88
           -0.0043242611                      -4401603.2
           -0.0043223582                      -177133.19
           -0.0043209509                      -3901322.8
            -0.004319582                       907171.85
           -0.0043182415                      -4947788.7
           -0.0043146125                      -2233623.9
           -0.0043053403                      -4875901.9
           -0.0043052404                      -5168091.6
           -0.0042985485                      -2551047.4
           -0.0042977918                       1906376.1
            -0.004288966                      -4480478.3
           -0.0042743813                       1917703.9
           -0.0042708374                      -5104893.7
           -0.0042685208                      -4784948.1
           -0.0042647506                      -3218590.7
           -0.0042608953                      -4855453.7
           -0.0042592098                      -3597153.9
           -0.0042561448                      -841953.48
           -0.0042486644                       1752607.2
            -0.004247987                      -1158987.7
           -0.0042453031                      -5506748.8
           -0.0042430829                      -115382.16
           -0.0042429367                         2423018
            -0.004242506                       1280667.2
           -0.0042409905                      -1831121.1
           -0.0042401798                       323855.04
           -0.0042393533                       1094317.4
            -0.004238769                      -4195704.1
           -0.0042368201                      -5638359.1
           -0.0042302436                      -2147133.2
           -0.0042254003                      -5095123.3
           -0.0042178843                        -4491001
           -0.0042120915                      -5346770.8
           -0.0042115572                      -5755917.4
           -0.0042096819                       2665460.8
           -0.0042061581                       2143386.5
           -0.0042026638                      -5866085.1
            -0.004202631                      -5553091.9
           -0.0042003774                      -2803980.2
           -0.0041893194                       2648244.4
           -0.0041841883                      -3186044.5
